pays,mois,cat,score,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf,terme,tfidf
france,2020-06,nonmedia,1370,marie paule,0.010330180180978702,https www,0.009306447509582521,youtube com,0.0061019197120558985,www youtube,0.005957176463552326,fr wikipedia,0.005303541802746733,wikipedia org,0.005303541802746733,org wiki,0.005303541802746733,belle chante,0.005123048799448049,www cinema,0.0048347065612234594,cinema francais,0.0048347065612234594,francais fr,0.004814393741251667,htm https,0.00477578904096827,filmographie https,0.004434185821215806,photos from,0.004099271656227968,com watch,0.0037995878809108986,https fr,0.003669260131440027,jean pierre,0.0033290230596401452,www senscritique,0.003149092220546287,senscritique com,0.003149092220546287,extrait album,0.0031180038231435623
france,2020-06,nonmedia,1197,emporte vent,0.01082501672735566,autant emporte,0.010793251754666042,plainte contre,0.01004790635086537,violences policières,0.009494908066622607,front populaire,0.008718714721336028,contre marion,0.00811225506286439,film autant,0.007681160350755568,traoré annonce,0.006764382741086244,chaîne réinformation,0.006763281750573825,réinformation nous,0.006643141558047285,marine pen,0.006345671446022228,nous est,0.006334021270728829,etats unis,0.005779833488130517,excuser blanche,0.005588783496653335,déconfinement plateforme,0.0055324488861980495,plateforme écoute,0.0055324488861980495,écoute smarturl,0.0055324488861980495,ai excuser,0.005517627466337472,jugé raciste,0.005509403249084655,écoutez est,0.005489342740634617
france,2020-06,nonmedia,979,qu il,0.01547917138797389,qu on,0.010438676601388499,qu elle,0.008795025240475386,amour est,0.007316750895751482,faire amour,0.006166489545010772,problème est,0.006068646316475117,quelqu un,0.005157263647117424,est qu,0.004995186801414755,qu un,0.004580412227263967,qu ils,0.0045496676759204,est ce,0.0036431801843944418,qu une,0.00354632029305446,peut être,0.0032172539438939315,aujourd hui,0.0030312983997262204,il faut,0.0027036414757304764,jeune homme,0.002550799079760317,shirleydorego app,0.002353550746027773,saint esprit,0.0023308398880602906,avez droit,0.0022842302780904356,app desktop,0.002234113528619715
france,2020-06,nonmedia,842,https www,0.023949075628557522,bit ly,0.021707609960843362,kilos com,0.019251019526126314,www croq,0.019251019526126314,https bit,0.017495065173898806,hervecuisine com,0.01632130655762552,2slebo0 https,0.014199988373562213,com recette,0.011986874259267607,www cuisineaz,0.01177733662467766,cuisineaz com,0.01159755028174679,2sv9ltb https,0.011572347779287813,recette facile,0.010701646449943428,com recettes,0.010551895443116098,www hervecuisine,0.01042097368167407,jevaisvouscuisiner com,0.010157082618886516,fiche recette,0.010111757288883734,http bit,0.009874618995990065,exclusive https,0.009412492357641097,recette https,0.009377342322799458,https toutesrecettes,0.009273879246108554
france,2020-06,nonmedia,805,qu il,0.05524536533802704,qu on,0.0325789276741307,qu elle,0.02488762145732826,est qu,0.009355551758144634,il faut,0.007176506114333302,qu est,0.006412868882778184,est ce,0.006298486701951825,qu une,0.006087548662594292,il est,0.005451771574391131,monde toi,0.004985940678324185,ce qu,0.004708910272681544,qu ils,0.004644485715099837,qu un,0.004454332759845956,problème toi,0.004364006348229862,toi monde,0.004295526963435312,on bon,0.00411225009973328,bon dieu,0.0038900615955109337,il arrive,0.0038715035446602207,est bien,0.003704431330066603,où problème,0.0034535061330647986
france,2020-06,nonmedia,800,normale taille,0.04158714032975078,silhouette normale,0.04155804362171258,poils courts,0.028303804092916208,taille petite,0.028025528156352245,facebook com,0.027213201711102804,petite poils,0.027191654603302508,moyenne poils,0.024276774150138482,taille moyenne,0.02425400931926866,https www,0.024141754422851224,http bit,0.023548179618078376,contact 06,0.023418758923142397,porte collier,0.022872332670378408,refuges france,0.021937863299814557,www hectorkitchen,0.021644019317560076,www facebook,0.020769364752899856,poils mi,0.019395082773918576,mi longs,0.01933738009245013,chien chat,0.019228360716610046,trouvé chien,0.019073558351641835,courts contact,0.016666909868961195
france,2020-06,nonmedia,781,ans été,0.0193064481278504,16 ans,0.01495705852599511,14 ans,0.012406210118963028,17 ans,0.010962352216535009,18 ans,0.010706016110228762,jeune homme,0.010280546071072498,été arrêté,0.00989030013207977,ans prison,0.009820639633376715,12 ans,0.008264695382206717,jeune femme,0.007922220750016485,19 ans,0.007146514988338314,20 ans,0.006736923401821193,malinois mois,0.006542991040872918,deux ans,0.006339941334571276,ans trop,0.005969551079345293,juin 2020,0.005862141152146965,25 ans,0.005804863857124877,45 ans,0.005796305237828697,85 ans,0.00579166495170319,35 ans,0.005669813572823625
france,2020-06,nonmedia,710,bisous christiane,0.035571537760565264,soin bisous,0.034446553549845646,prenez soin,0.03009894172810711,qu elle,0.02829608927852278,bisous patricia,0.027490986981803734,beaux rêves,0.025922826409684796,elle beauté,0.0249467787847647,elle merveille,0.024662501740853292,bisous demain,0.02463895022554995,remplie beaux,0.02434862713647129,philoo caramel,0.02252560745903492,dani paris,0.020214443588203693,bulle douceur,0.019643407227681264,ba chaînes,0.01911518756527585,magnifique partage,0.01890610794364572,box olingi,0.018533912635066953,box benga,0.018533912635066953,happy box,0.018533912635066953,afrique one,0.018533912635066953,benga france,0.018533912635066953
france,2020-06,nonmedia,642,planete deco,0.013725657595612298,alsace post,0.0103199285724745,région alsace,0.010251625409976619,massif vosges,0.009035478263865067,www avuedecoucou,0.00896536948180944,photos from,0.008758259154884365,com http,0.00843037279725653,deco fr,0.007658249504459854,vie vosges,0.0076563017856429915,www planete,0.007509694400225426,deco homes,0.007286350968114664,homes world,0.007286350968114664,petite maison,0.0061508417630442725,hautes vosges,0.0058777978968843824,alsace photos,0.005438807599877723,mini maison,0.005303061485061158,vosges vosges,0.004580425894937666,https www,0.004432450928487189,beaux villages,0.004202432660704505,bassin arcachon,0.004105024823557067
france,2020-06,nonmedia,521,110 km,0.04035585436954874,auto moto,0.02957966621951302,bmw série,0.022677667598362695,mercedes amg,0.01939621384142182,km autoroute,0.01831657767560064,30 km,0.017994537875874315,magazine auto,0.012590602094778063,moto magazine,0.012549958948458634,nouvelle bmw,0.012480455741933747,porsche 911,0.012471708985807043,bmw m5,0.012049553813298856,limitation vitesse,0.011696601097348245,ford mustang,0.011155519065296564,citroën c4,0.010954381715310468,limitation 110,0.010121625203171038,km autoroutes,0.010040463933788095,90 km,0.009455284341054377,km paris,0.00917316560797814,vitesse 110,0.008789586212854377,80 km,0.008393734729852042
