page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Blog Fascinant Japon,blogFascinantJapon,443314362495842,#443314362495842,1034,427345,"413,3",non
L'Anti-Média,LAntiMedia,560043290814548,#560043290814548,1017,2639922,"2595,8",non
Le Téléjournal 18 h,tj18h,107146536009839,#107146536009839,1006,583948,"580,5",oui
"Ensemble, accélérons la transition énergétique",eatenergie,132842486751654,#132842486751654,1005,501259,"498,8",non
LNH,LNH,339713819399579,#339713819399579,998,356257,357,non
Made in Alsace,MadeinAlsace,6840067705,#6840067705,993,653760,"658,4",non
ICI Abitibi-Témiscamingue,iciabitibi,275069289242598,#275069289242598,987,415239,"420,7",oui
Radio-Canada Arts,RadioCanadaArtsetdivertissement,381415355216257,#381415355216257,982,527753,"537,4",non
Journal Métro,journalmetro,64790844524,#64790844524,979,342534,"349,9",oui
La solution est en vous,lasolutionestenvous,335248206510387,#335248206510387,970,2935008,"3025,8",non
Franck Nicolas,francknicolasofficiel,467107220019064,#467107220019064,962,1386400,"1441,2",non
Le Droit,LeDroitca,152738728079652,#152738728079652,948,294020,"310,1",oui
"94,9 Rouge",949Rougefm,236257089748345,#236257089748345,928,301387,"324,8",non
Boom 104.1 - 106.5,radioboom,121768982267,#121768982267,919,483741,"526,4",non
FFL - Fédération Française de la Lose,FFLose,1624078231181292,#1624078231181292,916,3083841,"3366,6",non
GeekQc,GeekQc,154016318123550,#154016318123550,914,740505,"810,2",non
V Création,VCREATION2,228162347254869,#228162347254869,913,732946,"802,8",non
ICI TÉLÉ,iciradiocanadatele,144455282260922,#144455282260922,906,939945,"1037,5",non
Le Revoir,JournalLeRevoir,1329072827227305,#1329072827227305,900,1298617,"1442,9",non
Rythme 105.7,Rythme1057,124140938458,#124140938458,889,493042,"554,6",non
La Fondation Giguère,LaFondationGiguere,102286693169255,#102286693169255,883,638973,"723,6",non
La Presse Galactique,lapressegalactique,186562184697581,#186562184697581,875,301901,345,non
District 31,ICIDistrict31,1638112596450271,#1638112596450271,868,1252896,"1443,4",non
www.lanouvelle.net,lanouvellenet,109588815731299,#109588815731299,852,235328,"276,2",oui
C'est normal au Québec,cestnormalauquebec,530508237050540,#530508237050540,837,504640,"602,9",non
Le sac de chips,lesacdechips,574845642586113,#574845642586113,828,459413,"554,8",non
Radio-Canada Sports,radiocanada.sports,163083777048046,#163083777048046,818,323450,"395,4",oui
"96,9 Rouge",969Rougefm,267133359969833,#267133359969833,814,359760,442,non
Ayoye QC,AyoyeQC,833589203363319,#833589203363319,811,206926,"255,1",non
Espaces autochtones,espacesautochtones,1244324122290544,#1244324122290544,800,352766,441,oui
HollywoodPQ.com,HollywoodPQ,199477370862,#199477370862,792,499706,"630,9",non
Une Pomme Par Jour,unepommejour,1639311706392498,#1639311706392498,788,748502,"949,9",non
Petit Petit Gamin,petitpetitgamin,189448788942,#189448788942,778,789717,"1015,1",non
EnBeauce.com,enbeauce,137517729595139,#137517729595139,776,253699,"326,9",oui
La voix des animaux,La.voix.des.animaux.org,206535392710459,#206535392710459,761,838065,"1101,3",non
ÉNERGIE 104.1,gatineauottawa1041,116511115481,#116511115481,731,242809,"332,2",non
Je suis Elle,jesuiselle,1483314448551560,#1483314448551560,728,195101,268,non
CIMT Nouvelles,cimtnouvelles,176156409078792,#176156409078792,725,358800,"494,9",oui
URBANIA,URBANIA,70366134138,#70366134138,703,415416,"590,9",oui
Meme Qc,qcmemeqc,880871902034770,#880871902034770,695,668036,"961,2",non
www.zone911.com,zone911,106245819760,#106245819760,692,324571,469,non
94.7 Rouge,947Rougefm,240445512654530,#240445512654530,692,243501,"351,9",non
Le Biscuit Chinois,lebiscuitchinois,1395803760736643,#1395803760736643,688,335305,"487,4",non
"96,9 CKOI",969CKOI,122334661136817,#122334661136817,681,383263,"562,8",non
La Planète s'invite au Parlement,laplaneteauparlement,344333882982172,#344333882982172,677,248464,367,non
Deux minutes de pause,DeuxMinutesDePause,2322669638005579,#2322669638005579,660,538964,"816,6",non
FR إعلام العرب,arabs.media.fr,113455337033096,#113455337033096,654,229646,"351,1",non
François Legault,FrancoisLegaultPremierMinistre,400223946701308,#400223946701308,647,5366866,8295,non
Spotted Moment bizarre,spotmombiz,500246926847105,#500246926847105,644,428425,"665,3",non
Fédération des intervenantes en petite enfance du Québec Fipeq-Csq,FIPEQCSQ,127067803971172,#127067803971172,644,369396,"573,6",non
Journal Saint-François,SaintFrancoisGravite,541550695869194,#541550695869194,644,190914,"296,5",oui
ÉNERGIE 94.5,saguenay945,202461090251,#202461090251,638,285769,"447,9",non
Spotted: SOS Couples,spottedsoscouples,903587929706691,#903587929706691,637,178444,"280,1",non
Mario Tessier,MarioTessierOfficiel,100044159843455,#100044159843455,625,560694,"897,1",non
Bonsoir Bonsoir,BonsoirBonsoirRC,1234713543353506,#1234713543353506,624,738163,1183,non
Occupation Double,occupationdouble,98337972266,#98337972266,621,1088219,"1752,4",non
Anonymous infos QC,AnonymousInfosQc,138661676288574,#138661676288574,612,302259,"493,9",non
Gagnez GROS,GagnezGros,309903492456163,#309903492456163,604,173138,"286,7",non
Ayoye - QC,AyoyeQC2,273873603103,#273873603103,604,135473,"224,3",non
Zone économie,zoneeconomie,273070192878526,#273070192878526,600,210009,350,oui
Québec Niaiseries,quebecniaiseries1,175916469455588,#175916469455588,598,951948,"1591,9",non
L'art de la musique et de la culture,tunisie.mus.culture,1712766595719093,#1712766595719093,596,741530,"1244,2",non
TVA Saguenay-Lac-St-Jean,TVASaguenayLacStJean,154703251237678,#154703251237678,596,298732,"501,2",oui
Le Cahier,bloglecahier,107573309399959,#107573309399959,594,215505,"362,8",non
Québec solidaire,Quebecsolidaire,11392874217,#11392874217,592,297996,"503,4",non
Parti Québécois,lepartiquebecois,8843534619,#8843534619,583,440624,"755,8",non
"5 ingrédients, 15 minutes",magazine515,133556790064898,#133556790064898,582,370806,"637,1",non
Josée di Stasio,Joseedistasio.ca,388683135081314,#388683135081314,579,268009,"462,9",non
LES ALGERIENS DE MONTREAL,Les.Algeriens.De.Montreal,277889650784,#277889650784,577,285758,"495,2",non
