page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Dr Sophie Maffolini,sophiemaffolini,1565006373808401,#1565006373808401,280,100948,"360,5",non
La Fabrique Crépue,lafabriquecrepue,1425897517627579,#1425897517627579,276,110846,"401,6",non
Andrew Scheer,AndrewScheerMP,120693171297777,#120693171297777,274,556269,"2030,2",non
"Ministère des Forêts, de la Faune et des Parcs",ForetsFauneParcs,248207568702612,#248207568702612,274,139916,"510,6",non
L'actualité,lactualite,10216458583,#10216458583,274,130795,"477,4",oui
Kraft Canada - qu'est-ce qui mijote,questcequimijote,132788024101,#132788024101,273,91005,"333,4",non
Raphael Lessard,raphaellessardracing,1537312093179112,#1537312093179112,272,137615,"505,9",non
La page TDAH,PageTDAH,710710035737900,#710710035737900,271,844021,"3114,5",non
Souldia,SouldiaCompteOfficiel,458373947548692,#458373947548692,271,281166,"1037,5",non
Annie Blanchard,AnnieBlanchardMusic,100044456168506,#100044456168506,271,214628,792,non
Guylaine Tanguay,GuylaineTanguayChanteuse,100044406760326,#100044406760326,271,209641,"773,6",non
Ygreck,ygreck.caricature,100044260304773,#100044260304773,271,198543,"732,6",non
Fondation David Suzuki,fondationdavidsuzuki,168889579973,#168889579973,271,146442,"540,4",non
Tourisme Côte-Nord,tourismecotenord,613352892084693,#613352892084693,270,113595,"420,7",non
Bavardist,bavardist,1842970359144944,#1842970359144944,268,63791,238,non
Spotted : Dash Cam Québec,DashCamQC,360020580804145,#360020580804145,267,209023,"782,9",non
100 mots,100mots,100044233893791,#100044233893791,267,182955,"685,2",non
FM93 Québec,fm93quebec,129084380484268,#129084380484268,265,110362,"416,5",oui
Scientifique en chef du Québec,SciChefQC,348429268832817,#348429268832817,264,79181,"299,9",non
ICI Tou.tv,icitoutv,283043589881,#283043589881,263,331115,1259,non
Marocains du Canada,marocainsducanada.ca,179763628701147,#179763628701147,263,68528,"260,6",non
Christine Labrie,ChristineLabrieQS,163314057656374,#163314057656374,262,163762,625,non
Le Tricheur,letricheur,275748899129689,#275748899129689,261,435359,1668,non
Les Trouvailles de Sarah,lestrouvaillesdesarah,250818748434212,#250818748434212,260,424504,"1632,7",non
Le Coup de Grâce,lecoupdegrace.ca,638843516189568,#638843516189568,260,65059,"250,2",non
Wooloo par Caroline Savard,wooloo.ca,100044303535448,#100044303535448,259,126892,"489,9",non
Joli Joli Design,jolijolidesign,252504374950166,#252504374950166,259,108035,"417,1",non
Taktika,taktika,100044213390641,#100044213390641,259,98850,"381,7",non
ICI Ontario,iciontario,107649125949772,#107649125949772,259,74939,"289,3",oui
"FM 103,3 - La radio allumée",fm1033,110821378937188,#110821378937188,258,111007,"430,3",oui
CHU Sainte-Justine,ChuSteJustine,318701186492,#318701186492,258,97751,"378,9",non
Club de hockey L'Océanic de Rimouski,oceanicrimouski,128122187216862,#128122187216862,258,76780,"297,6",non
Infoman,infomantv,133066930080591,#133066930080591,257,310946,"1209,9",non
Mike Ward,MikeWardca,24049228589,#24049228589,257,261741,"1018,4",non
La Maison Lavande,maisonlavande,219362388086075,#219362388086075,257,217230,"845,3",non
Nicolas Duvernois - Pur Entrepreneur,NicolasDuvernoisPURentrepreneur,683835938304974,#683835938304974,256,160927,"628,6",non
Jérémy Sourdril,JeremySourdril,100044159453266,#100044159453266,255,426650,"1673,1",non
La légende de Bob Gratton,lebiscuitchinois2,504924919573184,#504924919573184,254,80348,"316,3",non
L'Hebdo du St-Maurice,lhebdodustmaurice,245901508753940,#245901508753940,254,71999,"283,5",oui
Phœnix Sherbrooke,phoenixsherbrooke,304629796228734,#304629796228734,254,66732,"262,7",non
Sylvain Gaudreault,SylvainGaudreaultPQ,33121109546,#33121109546,253,73214,"289,4",non
Tout le monde en parle,ToutlemondeenparleRC,112565155447457,#112565155447457,252,290271,"1151,9",non
Trois fois par jour,TROISFOISPARJOUR.OFFICIEL,421915911236725,#421915911236725,250,350864,"1403,5",non
Ville de Trois-Rivières,villetroisrivieres,228500857634863,#228500857634863,250,92052,"368,2",non
www.HOCKEY30.com,Hockey30,156422217196,#156422217196,250,70531,"282,1",non
Sûreté du Québec - page officielle.,policesureteduquebec,231840506883227,#231840506883227,249,330613,"1327,8",non
Maman caféine,Mamancafeine,100044251068260,#100044251068260,247,370961,"1501,9",non
Le Reflet du Lac,LeRefletduLac,120816134637957,#120816134637957,245,73138,"298,5",oui
Alain Rayes,alainrayes,223543244377689,#223543244377689,245,70369,"287,2",non
Nous aimons la CAQ et nous appuyons la CAQ,confiancelegaultscheer,1935896750048364,#1935896750048364,245,52893,"215,9",non
DanieleHenkel.tv,danielehenkeltv,194556130663853,#194556130663853,243,328202,"1350,6",non
Spotted celibataire,SpottedCelibataire18,199558200219793,#199558200219793,243,208181,"856,7",non
Arrondissement de Rosemont - La Petite-Patrie,arrondissementRPP,115676515176276,#115676515176276,243,114483,"471,1",non
Olivier Niquet,niquetolivier,9936886137,#9936886137,242,86770,"358,6",non
SOPFEU-Page officielle,SOPFEU,175287449151081,#175287449151081,240,132979,"554,1",non
Centre Tao,centretaonancy,106838953044283,#106838953044283,240,109430,456,non
Journal Le Lac-St-Jean,lelacstjean,"1,01501125855857E+016",#10150112585585724,240,80727,"336,4",oui
Néomédia Vaudreuil-Soulanges,neomediavaudreuilsoulanges,1640213986214892,#1640213986214892,240,73367,"305,7",oui
Parole de femmes,ParoleDeFemmesEmci,1691370931126620,#1691370931126620,240,51637,"215,2",non
ASTROLab du parc national du Mont-Mégantic,MontMegantic,137058673012042,#137058673012042,239,109427,"457,9",non
Le Québec Matin,lequebecmatin,682636768432850,#682636768432850,239,89310,"373,7",non
Radio Gaspésie,radiogaspesie,224522047597579,#224522047597579,237,61779,"260,7",oui
Martin duhamel,mduhamelkids,100044554624211,#100044554624211,236,131008,"555,1",non
Journal Le Canada Français,lecanadafrancais,255561392521,#255561392521,236,110955,"470,1",oui
Spotted: Levis,spottedlevis,575810589129160,#575810589129160,236,73535,"311,6",non
Karine Champagne,KarineMVChampagne,100044180061767,#100044180061767,235,142565,"606,7",non
Remparts de Québec,rempartsdequebec,102401599817041,#102401599817041,235,104807,446,non
FAE,lafae.qc.ca,182888094401,#182888094401,235,89570,"381,1",non
Look du jour,lookdujourca,661324217347071,#661324217347071,233,126128,"541,3",non
Emilie Robidas,emiliecoach,263957017063528,#263957017063528,233,116895,"501,7",non
CISSS de Chaudière-Appalaches,cisssca12,1688890854725608,#1688890854725608,233,77111,"330,9",non
Le Jeu C'est Sérieux,JeuSerieux,365157990220496,#365157990220496,231,118780,"514,2",non
106.9 FM Mauricie,fm.mauricie,343611139056789,#343611139056789,231,75168,"325,4",oui
Hockey Le Magazine,hockeymagazine,116769008486945,#116769008486945,231,52354,"226,6",non
Truck Stop Quebec,truckstopquebec,52225529415,#52225529415,230,101232,"440,1",non
Spotted : Longueuil,450SpottedLongueuil,438311612934122,#438311612934122,230,70438,"306,3",non
MoniikaaZ Impacteuse,Impacteuse,104786760965585,#104786760965585,228,212505,932,non
Fait au Québec,FaitAuQuebec,469526209764933,#469526209764933,228,192288,"843,4",non
Marylène Coulombe,marylenecoulombemedium,149043215199745,#149043215199745,228,132032,"579,1",non
Sol Zanetti,solzanettiqs,170209540348018,#170209540348018,228,122125,"535,6",non
Fédération des syndicats de l'enseignement (FSE-CSQ),FSECSQ,195260293845632,#195260293845632,228,80627,"353,6",non
Atchoum the cat,Atchoumthecat,972103262805506,#972103262805506,227,286819,"1263,5",non
Fruiter,memesfruiter,1082032898524375,#1082032898524375,226,273674,"1210,9",non
Courrier Frontenac,CourrierFrontenac,126740077384190,#126740077384190,224,63991,"285,7",oui
Sam fait rire,samfaitrire,286288818228851,#286288818228851,223,172058,"771,6",non
Avril Supermarché Santé,AvrilSupermarche,36355079058,#36355079058,223,59713,"267,8",non
Adil Charkaoui - عادل الشرقاوي,Charkaoui.Adil1,746182248836477,#746182248836477,222,128465,"578,7",non
Rezo Nodwes,rezonodwes,151285424930511,#151285424930511,220,104608,"475,5",non
FOLIA Design,FoliaDesign,108794872562454,#108794872562454,220,71774,"326,2",non
Sous Écoute,sousecoute,1111309705552440,#1111309705552440,219,84152,"384,3",non
Institut économique de Montréal,institut.economique.de.montreal,151415004877917,#151415004877917,218,62999,289,non
Musée national des beaux-arts du Québec (MNBAQ),mnbaq,218449602673,#218449602673,217,92043,"424,2",non
Josée V2.0,JOSEERivardpatrioteQc,100044156723589,#100044156723589,216,49779,"230,5",non
Petits monstres en folie,par.juliedesjardins,100044552494322,#100044552494322,215,384278,"1787,3",non
Governor General of Canada,GovernorGeneralCanada,158233954201949,#158233954201949,215,73785,"343,2",non
"Libre, Zen et Heureux",librezenetheureux,1072549796117275,#1072549796117275,212,195889,924,non
VoyageVoyage,voyagevoyage.ca,186467778069915,#186467778069915,212,116142,"547,8",non
ONF,onf.ca,8098079727,#8098079727,210,99289,"472,8",non
King Maliba,king.maliba.officiel,1444561645818120,#1444561645818120,210,67177,"319,9",non
Erin O'Toole,erinotoolecpc,346272215464826,#346272215464826,209,266651,"1275,8",non
Catherine Fournier,CathFournierQc,1442353122683650,#1442353122683650,209,175261,"838,6",non
Société Saint-Jean-Baptiste de Montréal,SSJBM,310636555680514,#310636555680514,209,70548,"337,6",non
Rassemblement pour la laïcité,rassemblementlaicite,410722305696577,#410722305696577,209,43511,"208,2",non
Bonjour Québec,tourismequebec.fr,110116996992732,#110116996992732,207,406679,"1964,6",non
Mélanie Joly,melanie.joly.965,1407185619590965,#1407185619590965,206,58262,"282,8",non
LHJMQ,LHJMQPageOfficielle,137460652932438,#137460652932438,206,54005,"262,2",non
Canadian Coalition for Firearm Rights,CanadianCoalitionforFirearmRights,215496085497522,#215496085497522,204,92401,"452,9",non
Florence K,florencekmusic,100044170462541,#100044170462541,203,157525,776,non
Deli Cuisine,DeliCuisineOfficiel,109983577299794,#109983577299794,202,2948899,"14598,5",non
Radio Ecoute FM,radioecoutefm,135443157326238,#135443157326238,202,187070,"926,1",non
Plaisir et Bien-Être,plaisiretbienetremediaweb,1428340240734249,#1428340240734249,202,184611,"913,9",non
Aventure Chasse Pêche,magazine.aventure,127828650567474,#127828650567474,202,63049,"312,1",non
Immigration et Citoyenneté Canadienne,CitImmCanFR,1562729973959056,#1562729973959056,202,50120,"248,1",non
Direction de santé publique de la Montérégie,DSPMonteregie,466153990404430,#466153990404430,201,88863,"442,1",non
Service de police de l'agglomération de Longueuil,PoliceSpal,921088497907967,#921088497907967,201,85657,"426,2",non
107.7 Estrie,1077fm,335968163160985,#335968163160985,201,49886,"248,2",oui
Jagmeet Singh,jagmeetndp,177161812331407,#177161812331407,200,171709,"858,5",non
Canadiens en santé,CANenSante,160504807323251,#160504807323251,199,109110,"548,3",non
"IGA, Vive la bouffe",vivelabouffe,131543356857030,#131543356857030,198,227665,"1149,8",non
Jean-Philippe Dion,JeanPhilippeDionOfficiel,100044439879410,#100044439879410,196,234382,"1195,8",non
ÉNORME,enormee,871300759675432,#871300759675432,195,176824,"906,8",non
Jerr allain,JerrGangsterAllain,100044598092005,#100044598092005,195,92947,"476,7",non
Chantal Lacroix,animatrice.Chantal.Lacroix,203238496421082,#203238496421082,194,564667,"2910,7",non
Ville de Montréal,mtlville,182645321760265,#182645321760265,194,168065,"866,3",non
Bat bravo pou la jenes,Batbravopoulajenes,113202370349985,#113202370349985,193,840637,"4355,6",non
Urgences-santé,corporationdurgencessante,168326050475379,#168326050475379,193,166299,"861,7",non
Hugo Dumas,hugodumas,1555846474652468,#1555846474652468,193,103323,"535,4",non
Radio-Canada Techno,radiocanadatechno,157420337629545,#157420337629545,192,80049,"416,9",oui
Joaillerie Zimm'S,joailleriezimms,251494223268,#251494223268,192,74098,"385,9",non
ONFR+,tfoONfr,101341720011488,#101341720011488,192,72868,"379,5",non
Tatouage Marty's Shop montreal,martyshopmontreal,134306780333682,#134306780333682,191,128554,"673,1",non
Jean-François Roberge - député de Chambly,roberge.chambly,369053516449628,#369053516449628,190,78498,"413,1",non
Ville de Laval,villedelavalpageofficielle,200948603252723,#200948603252723,190,66542,"350,2",non
Souad Daoudi Hypnothérapeute,hypnotherapeutecasablanca,1410728605721448,#1410728605721448,190,45598,240,non
Spotted N'importe Quoi,spotted.nimportequoi.1,1575333519356008,#1575333519356008,189,216740,"1146,8",non
Marc Hervieux,marchervieuxartiste,145272348866144,#145272348866144,189,145311,"768,8",non
Baldé Mariana,marianadjelo,100047300224072,#100047300224072,188,326524,"1736,8",non
"Horacio, notre héros",heroshoracio,102034328104978,#102034328104978,188,158790,"844,6",non
Véronique Cloutier,VeroPageOfficielle,101255889925920,#101255889925920,187,313176,"1674,7",non
Huskies de Rouyn-Noranda,HuskiesRN,209679419073464,#209679419073464,187,50300,269,non
Les Révoltés du Québec,LRDQuebec,1386662408231854,#1386662408231854,186,339506,"1825,3",non
Les enfants de la télé,lesenfantsdelatele,136417356400871,#136417356400871,186,88977,"478,4",non
Ismael le MaroQcain d'icitte,ismaellemaroqcaindicitte,376594242952178,#376594242952178,186,78196,"420,4",non
Saguenéens de Chicoutimi,SagueneensDeChicoutimi,148082151894449,#148082151894449,186,48546,261,non
Christian Hébert,ChristianHebertQc,136463130452634,#136463130452634,186,38778,"208,5",non
Isabelle Thériault,isabelle.liberale,797715070408673,#797715070408673,185,66648,"360,3",non
En direct de l'univers,endirectdelunivers,109211635804635,#109211635804635,184,943530,"5127,9",non
Guy Nantel,GuyNantelOfficiel,205597715769,#205597715769,184,187120,1017,non
Service de police de la Ville de Montréal - SPVM,SPVMpolice,518989818298491,#518989818298491,184,139546,"758,4",non
RAssemblement NAtional Africain - RANAA,RANAANiger,106892904120280,#106892904120280,184,89181,"484,7",non
Pèse sur Start,pesesurstart,1675329666071460,#1675329666071460,184,48169,"261,8",oui
Pascal Bérubé,PascalBerubePQ,432196533594767,#432196533594767,183,126420,"690,8",non
ICI ARTV,iciartv,20702338817,#20702338817,182,160299,"880,8",non
Amnistie Internationale Canada Francophone,AmnistieCA,179642688739082,#179642688739082,182,80417,"441,9",non
Play Mizik,playmizik,484323278313183,#484323278313183,181,121100,"669,1",non
CHUM,chum.montreal,151020326806,#151020326806,181,55807,"308,3",non
Man Lemire,ManLemire,100044280497155,#100044280497155,180,76537,"425,2",non
Maxime Victor,entrepreneuriat,194227187852,#194227187852,180,75315,"418,4",non
Journal L'Action,journallaction,282075260681,#282075260681,180,68009,"377,8",oui
bossbens show,bossbensshow,273702292659558,#273702292659558,177,170602,"963,9",non
Coup de pouce,coupdepouce,148988156276,#148988156276,176,93483,"531,2",oui
Les Fabuleuses - Créations Québécoises,lesfabuleusescreations,1734755899917516,#1734755899917516,176,68521,"389,3",non
Mammifères marins de la Côte-Nord,MammiferesMarinsDeLaCoteNord,422066407840198,#422066407840198,176,52241,"296,8",non
Questions Réponses QcTop.com,Reponses.QcTop,160088027334865,#160088027334865,176,44017,"250,1",non
La Voix,lavoixtva,272493026179546,#272493026179546,175,172958,"988,3",non
Préparation Physique Football,preparationphysiquefootball,530259557167030,#530259557167030,175,99281,"567,3",non
FOOT 24/24h,ysaleck607,105882217488966,#105882217488966,175,96363,"550,6",non
Tourisme Gaspésie,tourismegaspesie,28103937012,#28103937012,175,83092,"474,8",non
L'Avantage Gaspésien,avantagegaspesien,250789524180,#250789524180,175,48102,"274,9",oui
Tourisme Cantons-de-l'Est,cantonsdelest,202469982914,#202469982914,175,47873,"273,6",non
Arbonne Canada,arbonnecanadaofficial,150509971707112,#150509971707112,175,35277,"201,6",non
Cette année-là,CetteanneelaTQc,419532588492496,#419532588492496,174,248038,"1425,5",non
Une autre histoire,UneautrehistoireRC,470175909701358,#470175909701358,174,84012,"482,8",non
"Je suis le Chemin, La Vérité ET La VIE",lecheminlaverite,704671503012270,#704671503012270,173,264317,"1527,8",non
Mathieu Lacombe - Député de Papineau à l'Assemblée nationale du Québec,MathieuLacombeCAQ,409349336260183,#409349336260183,173,176460,1020,non
Saskia Thuot,ThuotSaskia,100044561070806,#100044561070806,173,168734,"975,3",non
Annie Dufresne,anniedufresnerock,100044579612984,#100044579612984,173,76258,"440,8",non
Le canadien de Montréal,lecanadiendemontreal,101483608038671,#101483608038671,173,67253,"388,7",non
Ville de Longueuil,VilleDeLongueuil,422826551061658,#422826551061658,173,64862,"374,9",non
Cataractes de Shawinigan,CataractesDeShawinigan,331240133606176,#331240133606176,172,41143,"239,2",non
Josée Lavigueur,JoseeLavigueurofficiel,100044461148303,#100044461148303,171,170802,"998,8",non
Véronique Hivon,veroniquehivon,40953617216,#40953617216,171,101959,"596,3",non
Pratico-Pratiques,PraticoPratiques,102113243167838,#102113243167838,171,52402,"306,4",non
"Plus on est de fous, plus on lit",plusonlit,100353873401905,#100353873401905,170,130250,"766,2",non
Hockey Québec,HockeyQuebecOfficielle,1574938079430294,#1574938079430294,170,90501,"532,4",non
105.3 Rouge,1053Rougefm,138064182948159,#138064182948159,170,66613,"391,8",non
Dixquatre.com,DixQuatrecom,1475935466025661,#1475935466025661,170,58115,"341,9",non
Partage le bonheur,KoalaQuizPartageLeBonheur,249466952092273,#249466952092273,170,33871,"199,2",non
L'amour est dans le pré,lamourestdanslepre,194919677225496,#194919677225496,169,271000,"1603,6",non
Tu es le chantier de Dieu,EnseignementsSpirituels,1101715026532715,#1101715026532715,168,194919,"1160,2",non
BBQ Québec,BBQquebec,228479977252532,#228479977252532,168,89686,"533,8",non
Horizon Health Network/Réseau de santé Horizon,HorizonNB,120963024660628,#120963024660628,168,63288,"376,7",non
Club de Foot Montréal,ClubdeFootMTL,116861190978,#116861190978,167,113380,"678,9",non
Akroche Tatuk,AkrocheTatuk,250050815071103,#250050815071103,167,69827,"418,1",non
Nature Québec,naturequebec,167559993283868,#167559993283868,167,53379,"319,6",non
Élevage Cochons miniatures,cochonsminiatures,224248547608614,#224248547608614,166,184310,"1110,3",non
Mélanie Maynard,maynardmelanie,116939108370949,#116939108370949,166,139685,"841,5",non
Lingerie Emma,Boutique.Emma.Repentigny,151251994892700,#151251994892700,166,74541,449,non
TVA Est-du-Québec,tvaestduquebec,134592973261866,#134592973261866,166,52417,"315,8",oui
Stéphanie Bédard,StephanieBedardOfficiel,124220227685083,#124220227685083,165,55392,"335,7",non
Juste pour rire,justepourrire,8700839925,#8700839925,164,278767,"1699,8",non
Parti libéral du Québec,LiberalQuebec,158881997478101,#158881997478101,164,53632,327,non
L'info du Nord Mont-Tremblant,linfodunordmt,202538623095602,#202538623095602,164,43645,"266,1",oui
Zoo de Granby,zoogranby,284945950511,#284945950511,163,103042,"632,2",non
Fanadiens.com,FanadiensExpress,507104925998745,#507104925998745,163,48123,"295,2",non
spotted: Varennes,spottedvarennes,213750742116815,#213750742116815,163,37268,"228,6",non
ÉNERGIE 98.9,quebec989,96507982021,#96507982021,162,78928,"487,2",non
La soirée est (encore) jeune,lasoireeestencorejeune,439261136102998,#439261136102998,162,74674,461,non
Loounie Cuisine,loounie,100044446059051,#100044446059051,161,71752,"445,7",non
Sucrerie Du Domaine-Prêt à manger-Casse croûte,sucreriedudomaine,1376112149379475,#1376112149379475,161,55741,"346,2",non
Adrien Pouliot,adrienpouliotpcq,405936282824547,#405936282824547,161,45463,"282,4",non
Mon Matane,nouvelles.chrmchoematane,351524758377662,#351524758377662,161,33667,"209,1",non
Ville de Sherbrooke,villedesherbrooke,210955295720552,#210955295720552,160,48851,"305,3",non
Rafaa 156,rafaa156officiel,838965286151328,#838965286151328,159,196026,"1232,9",non
ELLE QUÉBEC,ellequebec,97310144747,#97310144747,159,116195,"730,8",oui
Dominique Anglade,DomAnglade,1694841994085399,#1694841994085399,159,94847,"596,5",non
Chassomaniak,chassomaniak,120557754711394,#120557754711394,159,73859,"464,5",non
GO HABS GO,gohabsgo,123535304324047,#123535304324047,157,90173,"574,4",non
Rouge et Or,rougeetor,31814051522,#31814051522,157,38954,"248,1",non
L'Échappée,lechappeeTVA,1606210693028892,#1606210693028892,156,136082,"872,3",non
Citoyens au Pouvoir du Québec,particitoyensaupouvoir,208840802534712,#208840802534712,156,110667,"709,4",non
Ordre des infirmières et infirmiers du Québec | OIIQ,OIIQSante,357462911680,#357462911680,156,81150,"520,2",non
Ville de Drummondville,villedrummondville,430090793749538,#430090793749538,156,51869,"332,5",non
Zoo sauvage de Saint-Félicien,zoosauvage,170807545316,#170807545316,155,1804811,"11643,9",non
Spotted: Montreal,spottedmtl1,616077881741895,#616077881741895,155,58332,"376,3",non
Peter MacKay,PeterGMacKay,104817488512,#104817488512,155,47084,"303,8",non
Sommet Saint-Sauveur,SommetSaintSauveur,112984372081880,#112984372081880,154,64151,"416,6",non
Isabelle Huot Docteure en nutrition,huotisabelle,286789974650,#286789974650,154,58918,"382,6",non
Fans des Canadiens de Montréal,FansDesCanadiensMTL,209744905716771,#209744905716771,154,58164,"377,7",non
Protégez-Vous,protegezvous,131271093563675,#131271093563675,154,53902,350,oui
Ça c'est drôle,cacestdrole,264081973653866,#264081973653866,154,44240,"287,3",non
finances-africa.com,financesafrica2,222807194766059,#222807194766059,153,252619,"1651,1",non
David Jalbert,jalbertdavid,100044420406686,#100044420406686,153,52597,"343,8",non
Farfadet,FarfadetBeat,119212868138598,#119212868138598,153,46320,"302,7",non
Rad,radpointca,115457012314003,#115457012314003,152,228726,"1504,8",oui
Pierre-Yves McSween,pymcsween,100044474048113,#100044474048113,151,131795,"872,8",non
"Gravel dans le retour - Radio X 98,1",Gravel.dans.le.retour.radiox.CHOI981,118869274694,#118869274694,151,50719,"335,9",non
La Voix du Sud,lavoixdusud,120815214216,#120815214216,151,35510,"235,2",oui
7 jours sur Terre,7jourssurterre,1856281401056181,#1856281401056181,150,315805,"2105,4",non
Le Grand défi Pierre Lavoie,LeGDPL,79025334648,#79025334648,150,92562,"617,1",non
STM - Mouvement collectif,stminfo,191905614796,#191905614796,150,80054,"533,7",non
Équiterre,equiterre,117926081552324,#117926081552324,150,55540,"370,3",non
Tous contre un registre Québécois des armes à feu,TousContreUnRegistreQuebecoisDesArmesAFeu,336112259789071,#336112259789071,149,85664,"574,9",non
Vibrasyon Lakay,VibLakay,331772707438971,#331772707438971,149,38165,"256,1",non
Maxim Martin,maximmartin2m,49570139113,#49570139113,147,156294,"1063,2",non
Hydro-Québec,hydroquebec1944,171274232888795,#171274232888795,147,141787,"964,5",non
SPCA de Montréal,SPCAMontreal,111247368896474,#111247368896474,147,97139,"660,8",non
Genevieve Leclerc,GenevieveLeclercOfficiel,100044589872237,#100044589872237,147,58893,"400,6",non
Ottawa Police Service - Service de police d'Ottawa,OttawaPoliceService,156218914400984,#156218914400984,147,46611,"317,1",non
Y'a du monde à messe,yadumondeamesse,1896975353852063,#1896975353852063,147,46290,"314,9",non
Christian Marc Gendron,christian.marc.musique,150218905016001,#150218905016001,146,246631,"1689,3",non
Daniel Grenier - SOLO,DanielGreniersolo,273614199480004,#273614199480004,146,83950,575,non
Spotted St-Lin Laurentides,SpottedSaintLinLaurentides,202401539883965,#202401539883965,146,70639,"483,8",non
"Bromont, montagne d'expériences",Bromontmontagnedexperiences,184432300594,#184432300594,146,62913,"430,9",non
Trudeau ne me représente pas,nonatrudeau,556273724435873,#556273724435873,146,53602,"367,1",non
Le Souffleur De Sons,lesouffleurdesons,100050636102666,#100050636102666,146,43260,"296,3",non
Marthe Laverdière,marthelaverdiere,100044537075546,#100044537075546,145,184727,1274,non
Auberge du Lac Taureau,aubergedulactaureau,98666208160,#98666208160,145,168626,"1162,9",non
Recettes des amis,RecettesDesAmis,207193996080676,#207193996080676,145,115694,"797,9",non
Les Mauvaises Herbes - Les Trappeuses,lestrappeuses,164239587106721,#164239587106721,145,50409,"347,6",non
Le Placoteux,LePlacoteux,198240006859059,#198240006859059,145,33548,"231,4",oui
Ottawa and Valley Lost Pet Network,lostpetnetwork,451193091610145,#451193091610145,145,28034,"193,3",non
Super C,superc.ca,1662807310630794,#1662807310630794,144,149462,"1037,9",non
La semaine verte,semaineverte,47898945976,#47898945976,144,67515,"468,9",oui
Université de Montréal,umontreal,14096350493,#14096350493,144,51624,"358,5",non
"CHGA FM, la radio de la Vallée-de-la-Gatineau",chga.fm,186575453743,#186575453743,143,34863,"243,8",oui
St-Hubert,sthubert,197593146918232,#197593146918232,142,106401,"749,3",non
CISSS de Laval,cissslaval,137795909612593,#137795909612593,142,44182,"311,1",non
Rythme 93.7 et 98.1,rythme937et981,130198797025166,#130198797025166,142,38568,"271,6",non
Serres Li-Ma,serreslima,134868556588323,#134868556588323,141,498606,"3536,2",non
Les Mères Testeuses par Marie-Josée,merestesteuses,100044423859736,#100044423859736,141,216124,"1532,8",non
Service de police de Laval,policeLaval,212671012136381,#212671012136381,141,76347,"541,5",non
ÉNERGIE 98.7,rimouski987,95520356481,#95520356481,141,74599,"529,1",non
L'Hebdo Journal,hebdojournal,146779575365794,#146779575365794,141,53318,"378,1",oui
Voltigeurs de Drummondville,voltigeurs.dedrummondville,311049205669273,#311049205669273,141,35470,"251,6",non
MTL Blog,MTLBlog,254768477928383,#254768477928383,140,58549,"418,2",non
Québec en tête,quebecentete,371804936189406,#371804936189406,140,45848,"327,5",non
Alexandre Boulerice,alexandreboulerice,100044523725768,#100044523725768,140,41679,"297,7",non
Authentik Canada,AuthentikCanada,271989675793,#271989675793,139,219349,"1578,1",non
Alexandre Champagne,AlexandreChampagneOfficiel,100044515683075,#100044515683075,139,200708,"1443,9",non
Fondation CHU Sainte-Justine,fondationsaintejustine,179832233024,#179832233024,139,169173,"1217,1",non
Je suis Québécois(e) et fier de l'être !,quebecois.et.fier,210376290890,#210376290890,139,66131,"475,8",non
Monsef Derraji - Député de Nelligan,derrajimonsef,109577496366277,#109577496366277,139,50961,"366,6",non
Verset du jour en image,emBible,415673495235673,#415673495235673,138,196580,"1424,5",non
Lendemain de veille,lendemainveille,153934274650956,#153934274650956,138,142659,"1033,8",non
Michel Jean,MichelJeanOfficiel,100044566491143,#100044566491143,138,54005,"391,3",non
Fondation Dr Clown,fondationdrclown,127127110792439,#127127110792439,138,40541,"293,8",non
Création CP le chemin du plaisir,boutiquecreationcp,226166237520574,#226166237520574,137,89048,650,non
Mélanie Bilodeau Psychoéducatrice • Périnatalité/petite enfance,MelanieBilodeauPsychoeducatrice,1551148505203131,#1551148505203131,137,78368,572,non
Madame Labriski,MadameLabriski,100044574243334,#100044574243334,137,71734,"523,6",non
BeauceTV,BeauceTV,229038183778245,#229038183778245,137,51142,"373,3",non
Mathieu Cyr,lapagemathieucyr,22643198558,#22643198558,136,463754,3410,non
BS page fans,bspagefans,241477172863915,#241477172863915,136,140158,"1030,6",non
Nicola Ciccone,nicolacicconepage,951912201506610,#951912201506610,136,75323,"553,8",non
Au Pied de Cochon,aupieddecochonmtl,154375681412448,#154375681412448,136,66620,"489,9",non
Émilise Lessard-Therrien,Emiliselt,634243593585228,#634243593585228,136,51383,"377,8",non
Le jardin de mes pensées,LeJardindemespensees,852566584832133,#852566584832133,136,36923,"271,5",non
Réalise ta Vie,realisezvous,115881421909830,#115881421909830,136,27412,"201,6",non
2Frères,2freres,100044611711375,#100044611711375,135,112208,"831,2",non
L'épicerie,lepicerie,23464139596,#23464139596,135,54012,"400,1",oui
"David Goudreault-Auteur, etc.",Goudro,136666549729843,#136666549729843,134,94657,"706,4",non
Veille sur toi,VeilleSurToi,144346032406938,#144346032406938,134,82477,"615,5",non
Unpointcinq,unpointcinq,106365669977985,#106365669977985,134,37192,"277,6",oui
Refuge animal,refugeanimal,1381757398725362,#1381757398725362,133,186387,"1401,4",non
Marina Orsini: 5 chefs dans ma cuisine,5chefsdansmacuisine,786465841452345,#786465841452345,133,61164,"459,9",non
Dr. Hamidou Mamadou Abdou,DrHamidouMamadouAbdou,102890958031258,#102890958031258,133,49819,"374,6",non
