page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Qids,qids.suisse,543292022544584,#543292022544584,548,19838,"36,2",non
Extinction Rebellion Lausanne,xrlausanne,1588694017942509,#1588694017942509,547,39822,"72,8",non
Revue Militaire Suisse,revuemilitairesuisse,481739188676483,#481739188676483,534,24830,"46,5",non
European Rugby Challenge Cup,europeanrugbychallengecupFR,972303082832882,#972303082832882,521,8783,"16,9",non
Les souvenirs de Dakar,lessouvenirsdusenegal,1614648598765136,#1614648598765136,520,189883,"365,2",non
Qsport,Qsport.Suisse,329379920427834,#329379920427834,513,39667,"77,3",non
"Jésus-Christ t'aime ,comme personne ne t'a jamais aimé",jesuschristtaimecommepersonnenetajamaisaime,520387974820994,#520387974820994,505,31013,"61,4",non
Red-Fish Neuchâtel,redfishneuchatel,738914216229816,#738914216229816,491,3545,"7,2",non
Passeport Gourmand Suisse,passeport.gourmand.suisse,298629320187547,#298629320187547,490,41310,"84,3",non
Université de Neuchâtel,UniNeuchatel,117573924928087,#117573924928087,487,9381,"19,3",non
Genève-Servette Hockey Club,GeneveServetteHC,123636629486,#123636629486,485,62065,128,non
PLR,plr.lesliberauxradicaux,18087904183,#18087904183,485,43639,90,non
HES-SO,hesso,361692967444,#361692967444,484,3429,"7,1",non
HEMU - Haute Ecole de Musique,HEMU.HAUTE.ECOLE.MUSIQUE,130249430358344,#130249430358344,483,5903,"12,2",non
Zoe4life,zoe4lifeCH,471322742948140,#471322742948140,483,42529,"88,1",non
D! Club - Lausanne,Dclub.Lausanne,14387438604,#14387438604,479,7819,"16,3",non
Neuchâtel Xamax,xamaxfcs,141405415901359,#141405415901359,475,47194,"99,4",non
Objectif Fitness,ObjectifFitnessOfficiel,1838603233032984,#1838603233032984,473,124453,"263,1",non
Foolfashion,Foolfashion,153034988100770,#153034988100770,459,3749,"8,2",non
La Dakaroise,ladakaroisetv,715288022224916,#715288022224916,459,24602,"53,6",non
Université de Genève,unigeneve,101775956564589,#101775956564589,457,14207,"31,1",non
Hôpitaux Universitaires de Genève,hopitaux.universitaires.geneve,206413169374157,#206413169374157,456,174366,"382,4",non
Noticias del Mundo,worldnewsra,1355383417915047,#1355383417915047,443,188,"0,4",non
GRRIF,grrif,274657279240218,#274657279240218,440,7129,"16,2",non
Vanessa_beauti,vanessabeauti,100050814437380,#100050814437380,440,526606,"1196,8",non
Parti socialiste genevois,psgenevois,260591187302640,#260591187302640,433,13764,"31,8",non
Qbeer,qbeer.suisse,1982603878689520,#1982603878689520,429,3478,"8,1",non
sortir.lacote.ch,sortir.lacote.ch,140744709718161,#140744709718161,421,4383,"10,4",oui
Les temps sont durs pour les rêveurs,bureaudesrevesbrises,100044156123401,#100044156123401,410,2682193,"6541,9",non
Ambassade de Suisse en France,AmbassadeSuisseParis,302486046620840,#302486046620840,408,147891,"362,5",non
Global SPORT,RadioGlobalSport,140393669378083,#140393669378083,406,1728,"4,3",oui
Les Verts Neuchâtel,VertsNE,33170203821,#33170203821,397,8469,"21,3",non
Ville de Genève - Officiel,villegeneve.ch,148376171861764,#148376171861764,397,122243,"307,9",non
Cineman,Cineman.ch,35766436701,#35766436701,396,3876,"9,8",non
Nakan.ch,lesvertssuisses,175478195846132,#175478195846132,396,37488,"94,7",non
Commune de Val-de-Travers,communevaldetravers,225794764665448,#225794764665448,394,10072,"25,6",non
Collectif Femmes Valais,collectifemmesvalais,283982365731736,#283982365731736,387,8329,"21,5",non
Institut et Haute Ecole de la Santé La Source,ecolelasourcelausanne,150657561661126,#150657561661126,387,7518,"19,4",non
Ville de Nyon - Page officielle,ville.nyon,271363502888982,#271363502888982,386,17635,"45,7",non
La Gravière - Live Club,lagraviereliveclub,672083396141016,#672083396141016,384,4032,"10,5",non
Avis Du Public Buzz,AvisDuPublic.Cinema,604644893217882,#604644893217882,383,31796,83,non
Darius Rochebin,dariusrochebin,100044398660614,#100044398660614,371,320604,"864,2",non
Hes-so Valais Wallis,hessovalais,380615172046100,#380615172046100,365,4847,"13,3",non
Complètement Sport,CompletementSportC9,321080931395065,#321080931395065,360,4710,"13,1",non
Case à Chocs,Caseachocs,112960472096793,#112960472096793,358,3088,"8,6",non
Chaîne de Prière Daniline TV,dunamis.jesuis.1,1440414849507484,#1440414849507484,358,16120,45,non
HC Sierre - La Page Officielle,HockeyClubSierre,118572154899721,#118572154899721,358,28488,"79,6",non
Eveil Tv,Eveil.tv,100050479839902,#100050479839902,356,20922,"58,8",non
Crans Montana,cransmontana,41479585897,#41479585897,353,69174,196,non
De mauvais humour DMH,demauvaishumourDMH,348960965295712,#348960965295712,353,378617,"1072,6",non
PS Suisse,pssuisse,291359247729208,#291359247729208,353,37654,"106,7",non
Théâtre de Vidy,theatredevidy,652654818099305,#652654818099305,353,6101,"17,3",non
