page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
hub neuchatel,hubneuchatel,923906421110374,#923906421110374,179,1156,"6,5",non
Lausanne Palace,lausannepalace,255593841121061,#255593841121061,179,6946,"38,8",non
Chinggis Khaan Radio/TV Switzerland,ChinggisKhaanRadioProductions,1609539742674038,#1609539742674038,178,221,"1,2",non
POP La T'Chaux,popchauxdefonds,210049219722969,#210049219722969,178,4610,"25,9",non
Cadeaux24.ch,Cadeaux24.ch,126244900863406,#126244900863406,177,28030,"158,4",non
Operation Libero,operationlibero.fr,1620877031567102,#1620877031567102,177,2012,"11,4",non
Syndicat Unia,UniaSuisse,207937315972163,#207937315972163,177,15734,"88,9",non
HESAV - Haute École de Santé Vaud,HauteEcoleDeSanteVaud,929473110428196,#929473110428196,176,3699,21,non
MUSIC AFRO HIT HD,MUSICAFROHITHD,134082277000764,#134082277000764,176,1381,"7,8",non
OSR - Orchestre de la Suisse Romande,orchestredelasuisseromande,1411631222392121,#1411631222392121,176,17846,"101,4",non
Suva Suisse,suvasuisse,291077280905071,#291077280905071,175,14848,"84,8",non
Jura & Trois-Lacs,Jura3Lacs,169653126400996,#169653126400996,174,25312,"145,5",non
Région Dents du Midi,RegionDentsDuMidi,592609880753854,#592609880753854,174,28866,"165,9",non
StrategeMarketing,StrategeMarketingCom,643767485807401,#643767485807401,174,3779,"21,7",non
PDC de Sion,pdcsion,189128054535368,#189128054535368,173,2561,"14,8",non
Les Vins du Valais,swisswinevalais,160891480699056,#160891480699056,173,17252,"99,7",non
Musées cantonaux du Valais / Walliser Kantonsmuseen,MuseescantonauxduValais,266141670231598,#266141670231598,172,4007,"23,3",non
Consulat général de Suisse à Montréal/ Swiss Consulate in Montreal,ConsulateSuisseMontreal,122633534424721,#122633534424721,171,8848,"51,7",non
Coopération suisse au Bénin,CooperationSuisseBenin,534948716943776,#534948716943776,171,13219,"77,3",non
Emil Frey Crissier,emilfrey.crissier,107140396029385,#107140396029385,171,1088,"6,4",non
Romande Energie,RomandeEnergie,506532609421209,#506532609421209,171,7292,"42,6",non
Verbier 4Vallées,Verbier4vallees,331026377078841,#331026377078841,171,35842,"209,6",non
HORNBACH,hornbach.ch.fr,124571054249420,#124571054249420,170,1349,"7,9",non
LobbyBar,lelobbybar,400877456742692,#400877456742692,170,765,"4,5",non
Die Mitte - Le Centre,mitte.centre,169510248558,#169510248558,170,12203,"71,8",non
Santépsy.ch,santepsy.ch,1710153699294327,#1710153699294327,170,4767,28,non
TOTEM Escalade,totemescalade,807570629334232,#807570629334232,170,2222,"13,1",non
CSS Assurance,cssassurance,1179132178863969,#1179132178863969,169,1637,"9,7",non
Grève des femmes Fribourg - Frauenstreik Freiburg,grevefeministecoordinationfribourg,234599657212484,#234599657212484,169,9529,"56,4",non
Polymanga,Polymanga,46143230955,#46143230955,169,11643,"68,9",non
V-ZUG,vzugchfr,423917487792736,#423917487792736,169,979,"5,8",non
BM-EMPLOI SA,bmemploisiege,1557632384544473,#1557632384544473,168,1706,"10,2",non
LES PLUS BELLES PROMESSES DE LA BIBLE,CarmydeNeuch,301404977938,#301404977938,168,290582,"1729,7",non
Centres Manor,centresmanor,1270370303002326,#1270370303002326,168,2763,"16,4",non
Humans&Climate Change Stories,humansclimatechangestories,270431210031662,#270431210031662,168,1011,6,non
La région du Lac Léman,LaRegionDuLacLeman,381321049234269,#381321049234269,168,502245,"2989,6",non
PDC Jura,pdcjura,774329406103204,#774329406103204,168,6987,"41,6",non
Decathlon CH,Decathlon.Geneve.Meyrin,196903714243332,#196903714243332,167,687,"4,1",non
Saint-Maurice Tourisme,saintmaurice.tourisme,506144256155341,#506144256155341,167,2576,"15,4",non
UDC du Valais romand,UDCVR,432285486819678,#432285486819678,167,4441,"26,6",non
Organisation suisse d'aide aux réfugiés OSAR,aideauxrefugies,68911894952,#68911894952,166,7911,"47,7",non
Boa Lingua,boalinguaSuisse,198075237234,#198075237234,166,52,"0,3",non
Etablissements hospitaliers du Nord vaudois - EHNV,hopitauxnordvaudois,165136574266044,#165136574266044,165,48687,"295,1",non
Maison du Dessin de Presse,maisondudessindepresse,210445852313170,#210445852313170,165,5468,"33,1",non
Editions Favre,EditionsFavre,145116612315235,#145116612315235,164,1944,"11,9",non
Ville de Gland,ville.degland,304588453011676,#304588453011676,164,4753,29,non
Sport-Auto.ch · Puissance Max,SportAutoPuissanceMax,510048495868797,#510048495868797,163,5763,"35,4",non
Genève Aéroport,GeneveAeroport,108733015815409,#108733015815409,162,74370,"459,1",non
La République En Marche Suisse,LaREMSuisse,1016340465110766,#1016340465110766,162,762,"4,7",non
Thomas Wiesel,thomaswieselcomedy,214332785268281,#214332785268281,162,682706,"4214,2",non
audio,audiogeneva,393288464423274,#393288464423274,161,6309,"39,2",non
Embassy of Belgium in Bern,BelgiumInSwitzerland,170918256731880,#170918256731880,161,1693,"10,5",non
Opel,OpelCH,120246448046679,#120246448046679,161,26817,"166,6",non
Réseau hospitalier neuchâtelois,reseauhospitalierne,534095506744196,#534095506744196,161,23179,144,non
Arsenic - Centre d'art scénique contemporain,arsenic.lausanne,317449768305974,#317449768305974,160,2754,"17,2",non
La Saison culturelle de Montreux,lasaisonculturelle,1002510373103558,#1002510373103558,160,8167,51,non
Quartier du Flon,quartierduflon,437284323131232,#437284323131232,159,4279,"26,9",non
GHI - Le Journal indépendant des Genevois,Journal.GHI,110952184914,#110952184914,158,8030,"50,8",oui
Live Music Production,LiveMusicProduction,225373600820146,#225373600820146,158,5788,"36,6",non
Verbier,VerbierSwitzerland,32278261983,#32278261983,158,13662,"86,5",non
brocki.ch,brocki.ch,1125883270775211,#1125883270775211,157,1342,"8,5",non
Centre Migros Crissier,CentreMigrosCrissier,160260467936143,#160260467936143,157,2717,"17,3",non
Samsung,SamsungSuisse,533989397120031,#533989397120031,157,15692,"99,9",non
Stickerkid,stickerkid.french,330799360300840,#330799360300840,157,1332,"8,5",non
Théâtre populaire romand,theatrepopulaireromand,850845204989761,#850845204989761,157,1879,12,non
Hello Family,coophellofamily.suisse,2014226945470622,#2014226945470622,156,16643,"106,7",non
Doctors for Extinction Rebellion Switzerland,doctors4xr.ch,101671341297388,#101671341297388,156,6095,"39,1",non
Haute école de travail social Fribourg / HETS Fribourg,HETSFribourg,242337532606240,#242337532606240,156,1050,"6,7",non
Paysans Suisses,paysans.suisses,102381448175660,#102381448175660,156,7338,47,non
BBC Nyon,BBCNyon,201010473337836,#201010473337836,155,2218,"14,3",non
En Vert Et Contre Tout,EnVertEtContreTout,1106872832666042,#1106872832666042,155,10052,"64,9",non
Vert'libéraux,vertliberaux,179829952053386,#179829952053386,155,4341,28,non
La Garenne,zooLaGarenne,209368319238539,#209368319238539,154,23893,"155,1",non
Jura l'original,juraoriginalsuisse,483360208363117,#483360208363117,153,13172,"86,1",non
MesVignerons,mesvignerons,695629684160660,#695629684160660,153,2945,"19,2",non
Centre Islamique de Neuchâtel,mosqueeneuch,321552857863849,#321552857863849,153,11745,"76,8",non
Romandie Formation,RomandieFormation,125605740833978,#125605740833978,153,2587,"16,9",non
Muséum d'histoire naturelle de Neuchâtel,MuseumNeuchatel,224614900933969,#224614900933969,152,1470,"9,7",non
Vert'libéraux - Genève,vertliberaux.geneve,116890591678651,#116890591678651,152,3122,"20,5",non
Visions du Réel,visionsdureelfestival,208610575886256,#208610575886256,152,6874,"45,2",non
Escudero records,escudero.records,939590359432816,#939590359432816,151,431,"2,9",non
Neuchâtel Hockey Academy,neuchatelhockeyacademy,166287323387512,#166287323387512,151,2356,"15,6",non
Transports publics fribourgeois - TPF,tpf.fribourg,455949677839079,#455949677839079,151,9327,"61,8",non
Usine A Gaz,usineagaz,157581700931685,#157581700931685,151,1574,"10,4",non
GE-nouveaux quartiers,geneve.nouveauxquartiers,1669052210066418,#1669052210066418,150,3661,"24,4",non
Caritas Suisse,caritas.suisse,128108790964,#128108790964,149,5894,"39,6",non
CEAS - Centre Ecologique Albert Schweitzer,ceas.ch,300086730015539,#300086730015539,149,2111,"14,2",non
DS,DS.Switzerland,762231587154144,#762231587154144,149,45590,306,non
Coop,coop.suisse,166644053720933,#166644053720933,148,25399,"171,6",non
Fondation Hirondelle,fondationhirondelle,522913431079994,#522913431079994,148,6639,"44,9",non
HETSL,HETSL,115479118527719,#115479118527719,148,689,"4,7",non
Jugend und Medien - Jeunes et médias,JugendundMedien,175157209231785,#175157209231785,148,323,"2,2",non
Covid-19- Reset,Covidreset,114728020387085,#114728020387085,147,1348,"9,2",non
Groupe Leuba SA,groupeleuba,199144163448531,#199144163448531,147,1641,"11,2",non
PDC Valais-Romand,pdcvr,111065655591792,#111065655591792,146,2968,"20,3",non
PLR FDP VS,plr.valais,605832709468525,#605832709468525,146,4228,29,non
Qwine,Qwine.Schweiz,140241812786122,#140241812786122,146,37,"0,3",non
High-Resolution,bestresolution,409032686214439,#409032686214439,145,116,"0,8",non
Clarins,ClarinsSwitzerland,188512251166933,#188512251166933,145,22068,"152,2",non
Comédie de Genève,comediedegeneve,484759111546788,#484759111546788,145,5473,"37,7",non
Ted Beaubrun,tedbeaubrunband,179205052452847,#179205052452847,145,3019,"20,8",non
Télé Leysin Col Des Mosses La Lécherette,TeleLeysinMossesLecherette,342416985896709,#342416985896709,145,5834,"40,2",non
AXA Switzerland,axach.fr,1118745571570819,#1118745571570819,144,3727,"25,9",non
BCN - Soutien,BCNSoutien,168317729884394,#168317729884394,144,4399,"30,5",non
Droits de l'Enfant - Humanium,Humanium.Droits.Enfant,118679684853642,#118679684853642,144,4323,30,non
"Les salons du mieux-vivre: 2 salons, eConférences, eShop. En savoir plus.",LesSalonsDuMieuxVivre,514985458570220,#514985458570220,144,762,"5,3",non
Oris,oris.fr,207650823417556,#207650823417556,144,6190,43,non
PDC Fribourg / CVP Freiburg,pdcfribourg.pdcfreiburg,1375919459335334,#1375919459335334,144,2121,"14,7",non
Socialize Magazine,SoMagCH,129154293810526,#129154293810526,144,3062,"21,3",non
Le Journal du Jura,journaldujura,154115557948745,#154115557948745,143,982,"6,9",oui
Loredi Lagrace femme de foi,LLograce,656091001391573,#656091001391573,143,9768,"68,3",non
NIFFF (Neuchâtel International Fantastic Film Festival),NIFFFestival,346117285411984,#346117285411984,143,4157,"29,1",non
Police cantonale Fribourg - Kantonspolizei Freiburg,police.fribourg.freiburg,336575536523431,#336575536523431,143,35780,"250,2",non
Parti socialiste du Val-de-Travers,psvdt,403094933223082,#403094933223082,143,2287,16,non
The International Platform on Sport and Development,sportanddev,124715084244455,#124715084244455,143,1233,"8,6",non
Claves records,Clavesrecords,202680169787320,#202680169787320,142,283,2,non
Judo Kwai Lausanne,judokwailausanne,1405439876391006,#1405439876391006,142,5277,"37,2",non
Nature & Découvertes Suisse,natureetdecouvertes.ch,454973818219872,#454973818219872,142,1371,"9,7",non
TL Transports publics de la région lausannoise,tl.lausanne,176280025824620,#176280025824620,142,20015,141,non
Würth AG Schweiz,wuerth,179999472013951,#179999472013951,142,743,"5,2",non
Bio Suisse,biosuisse,106868899350543,#106868899350543,141,6982,"49,5",non
Emil Frey Marly,emilfrey.marly,680734542123702,#680734542123702,141,4610,"32,7",non
Haute école d'art et de design - Genève,head.geneve,111093375643171,#111093375643171,141,1399,"9,9",non
Royal Savoy Lausanne,RoyalSavoy,254125974707435,#254125974707435,141,9523,"67,5",non
Ambassade de Suisse à Yaoundé / Embassy of Switzerland in Yaoundé,SwissEmbassyYaounde,337838200032701,#337838200032701,141,4214,"29,9",non
Canon Suisse,CanonSuisse,18583423084,#18583423084,140,783,"5,6",non
Carlo Sommaruga,carlo.sommaruga,840937016002783,#840937016002783,140,11666,"83,3",non
Education First Tunisie - Étudier à l'étranger,EFTunisie,1540697989500890,#1540697989500890,140,1034,"7,4",non
Okaïdi,OkaidiSwitzerland,564297383934450,#564297383934450,140,1232,"8,8",non
Ambassade de Suisse à Madagascar,AmbassadeSuisseAntananarivo,265640324070085,#265640324070085,139,7495,"53,9",non
Club Alpin Suisse CAS,ClubAlpinSuisse,217264188336353,#217264188336353,139,9452,68,non
Haute école de musique de Genève - HEM,hemgeneve,302225739876941,#302225739876941,139,7953,"57,2",non
Salon des thérapies naturelles,salontherapiesnaturelles,346938665496075,#346938665496075,139,3289,"23,7",non
Ambassade de Suisse en Haïti,AmbassadeSuissePortauPrince,441689936273769,#441689936273769,138,2970,"21,5",non
Le Pop Club Records,lepopclubrecords,242015459333095,#242015459333095,138,1182,"8,6",non
52 minutes,52minutes.rts,121506071290824,#121506071290824,137,441192,"3220,4",non
Think Tank foraus,forausthinktank,192797943611,#192797943611,137,742,"5,4",non
PLR.Les Libéraux-Radicaux Lausanne,PLR.Lausanne,143674429003483,#143674429003483,137,3380,"24,7",non
Sonny Court,sonnycourt,1131342503655469,#1131342503655469,137,242313,"1768,7",non
Musée suisse de l'appareil photographique - Vevey,cameramuseumvevey,157971150893858,#157971150893858,136,1835,"13,5",non
SportXX,SportXX,213420852024452,#213420852024452,136,8197,"60,3",non
Trust Tech,trustmytech,250991498717334,#250991498717334,136,4462,"32,8",non
Harley Davidson Geneva,harleydavidsongeneve,528702590534853,#528702590534853,135,17100,"126,7",non
Peugeot,peugeotswitzerland,113041855438624,#113041855438624,135,52096,"385,9",non
Sidney Kamerzin,sidneykamerzin.ch,100058161394479,#100058161394479,135,13039,"96,6",non
Actu.news,toyoka.24,109530630924274,#109530630924274,135,3311,"24,5",non
Toyota Switzerland,toyotaswitzerland,128195630586736,#128195630586736,135,2273,"16,8",non
aquama France,aquamafrance,266764320138874,#266764320138874,134,2335,"17,4",non
Ciclissimo Genève,ciclissimogeneve,395724930827312,#395724930827312,134,6836,51,non
Gastrovalais,gastrovalais,1645684342114113,#1645684342114113,134,1724,"12,9",non
Helsana,helsana.fr,1380998292019868,#1380998292019868,134,11974,"89,4",non
Parti Socialiste Neuchâtelois,partisocialisteneuchatelois,755554214495636,#755554214495636,134,2424,"18,1",non
1000 lieux suisses,1000lieuxsuisses,1774132022644005,#1774132022644005,133,358636,"2696,5",non
Famigros,FamigrosFR,1609536532480694,#1609536532480694,133,14069,"105,8",non
Soignez-Moi.ch,soignezmoi.ch,354250318353169,#354250318353169,133,679,"5,1",non
Geneva Tourism,GeneveTourisme,283858645362944,#283858645362944,132,8510,"64,5",non
Extinction Rebellion Valais,xrebvs,255105845165733,#255105845165733,132,846,"6,4",non
BARNES Suisse,Barnes.Suisse,246053192244065,#246053192244065,131,1732,"13,2",non
Honda Moto,hondamotoCH,269129086443615,#269129086443615,131,17021,"129,9",non
L'Intemporel - Mobilier Design,LIntemporelDesign,413184708749385,#413184708749385,131,1192,"9,1",non
Passe-moi les Jumelles,passemoilesjumelles,174059625946838,#174059625946838,131,55038,"420,1",non
Parti Socialiste Vaudois,psvaud,1419223321733027,#1419223321733027,131,5871,"44,8",non
Conforama Schweiz/Suisse,conforamaCH,286524628221818,#286524628221818,130,1683,"12,9",non
Fiat,fiatschweiz,140243186086964,#140243186086964,130,4012,"30,9",non
Pro Natura,pronatura,73018483525,#73018483525,130,13284,"102,2",non
Confiserie Sprüngli,spruengliSuisse,460930657395217,#460930657395217,130,1905,"14,7",non
International Oriental Film Festival of Geneva,fifog.geneve,296868045921,#296868045921,129,3346,"25,9",non
MINI,MINI.Switzerland,131588793599103,#131588793599103,129,4703,"36,5",non
Obrist,obristvins,426558897389522,#426558897389522,129,7601,"58,9",non
RealFly Sion,REALFLY.CH,1418811181668633,#1418811181668633,129,3913,"30,3",non
BBC Monthey-Chablais,bbcmontheychablais,185440108199548,#185440108199548,128,3440,"26,9",non
EHC Biel-Bienne,ehcb.ch,11476563866,#11476563866,128,13073,"102,1",non
Migros Vaud,migrosvaud,649751661788411,#649751661788411,128,31609,"246,9",non
Police Municipale de Lausanne,Policemunicipaledelausanne,1634881200092645,#1634881200092645,128,42052,"328,5",non
Geneva Environment Network - Réseau environnement de Genève (GEN),GenevaEnvironmentNetwork,157208263017,#157208263017,127,323,"2,5",non
La Tzoumaz tourisme,latzoumaz.ch,175639055969491,#175639055969491,127,5209,41,non
Les Bains de Lavey,lesbainsdelavey,267861623244690,#267861623244690,127,36176,"284,9",non
LSCV-Ligue suisse contre l'expérimentation animale,LSCV.ch,309104055797038,#309104055797038,127,10110,"79,6",non
Nombril de Vénus,NombrildeVenus,1602456783371464,#1602456783371464,127,6791,"53,5",non
Grimper.ch,grimper.ch,498241993620143,#498241993620143,126,4911,39,non
UNIcréa,SalonUNIcrea,154817837978836,#154817837978836,126,5083,"40,3",non
MediaduSalut,gadchk,801739499952701,#801739499952701,125,231,"1,8",non
Maison Gilliard,maison.gilliard,560361840692311,#560361840692311,125,8156,"65,2",non
Montreux Riviera - Pure Inspiration,montreuxriviera,334192590645,#334192590645,125,20385,"163,1",non
PDC Ville de Genève,pdcvilledegeneve,1429860470617358,#1429860470617358,125,8371,67,non
Roaditude,revueroaditude,778080915636477,#778080915636477,125,2373,19,non
Tataki,Tatakiiii,168558170358799,#168558170358799,125,193151,"1545,2",non
Virgile Formation,VirgileFormation,198481690189002,#198481690189002,125,754,6,non
Boissonnerie,boissonnerie,404263599941071,#404263599941071,124,2737,"22,1",non
Migros Neuchâtel-Fribourg,migrosNF,820916561581653,#820916561581653,124,4202,"33,9",non
Perret Sanitaire SA,PerretSanitaire,1487180698009805,#1487180698009805,124,3823,"30,8",non
UDC Jura,udc.jura,545815308804200,#545815308804200,124,2041,"16,5",non
FRIBOURG REGION,fribourgregion,240525110537,#240525110537,123,106729,"867,7",non
Groupe E,groupe.e.ch,193467164038675,#193467164038675,123,8475,"68,9",non
Swissquote,Swissquote,124626904281206,#124626904281206,123,1875,"15,2",non
ZEBRA,zebramix,100045300468821,#100045300468821,123,6618,"53,8",non
Leysin Tourisme,leysintourisme,566887523405120,#566887523405120,122,7475,"61,3",non
Parti Suisse du Travail,PartiSuisseduTravail,1894824047427630,#1894824047427630,122,3421,28,non
Vallée du Trient,ValleeduTrient,430341553691355,#430341553691355,122,8216,"67,3",non
Garden centre Bronnimann,gardencentrebronnimann,358059314375,#358059314375,121,5639,"46,6",non
Hôpital de La Tour,hopitaldelatour,230745593634846,#230745593634846,121,4446,"36,7",non
Parti Socialiste Yverdonnois,PSYverdon,177101958993013,#177101958993013,120,2181,"18,2",non
SDIS Riviera,SDISRiviera,572862882824788,#572862882824788,120,11080,"92,3",non
Tour des Stations,tourdesstations,1483227281759503,#1483227281759503,120,11777,"98,1",non
Vevey Libre,veveylibre,173639286056291,#173639286056291,120,6682,"55,7",non
Collectif Breakfree Suisse,collectifsuissebreakfree,231162147249005,#231162147249005,119,5533,"46,5",non
Jean-Luc Addor Conseiller national,addorCN,370243936407553,#370243936407553,118,8773,"74,3",non
"Claude Béglé, Conseiller national",claudebegleCN,741685339286491,#741685339286491,118,1052,"8,9",non
LONGINES,LonginesCH,147137525908354,#147137525908354,118,3651,"30,9",non
Manor,ManorSuisse,895372940564884,#895372940564884,118,50114,"424,7",non
PLR Ville de Nyon,PLR.Ville.de.Nyon,168082819881543,#168082819881543,118,610,"5,2",non
TCH.online/transport-CH/aftermarket-CH,transportCH,165955783476106,#165955783476106,118,4478,"37,9",non
PLRN,PLRN.ch,462398833882655,#462398833882655,117,1871,16,non
Hes-so Valais Wallis - Travail Social,hevs.social,202421946436887,#202421946436887,116,739,"6,4",non
La Mort Subite - Bar Sportif,lamortsubitebar,104921407564755,#104921407564755,116,1512,13,non
Les Vert·e·s de Vevey,lesvert.e.svevey,151496108231855,#151496108231855,116,1192,"10,3",non
PLR.Les Libéraux-Radicaux Jura,plr.jura,712517368808535,#712517368808535,116,3144,"27,1",non
SAC Swiss Ski Mountaineering,swissskimountaineering,329941703852557,#329941703852557,116,5494,"47,4",non
Alloboissons,Alloboissons,368422906537561,#368422906537561,115,4960,"43,1",non
Fribourg Olympic Basket,fribourgolympicbasketclub,589618184429174,#589618184429174,115,7744,"67,3",non
Hotelplan,HotelplanFR,378356846258357,#378356846258357,115,3866,"33,6",non
Société de Musique La Chaux-de-Fonds,musiquecdf,292043497493651,#292043497493651,115,317,"2,8",non
Smood,smood.ch,361186730565010,#361186730565010,115,1362,"11,8",non
SEV - Gewerkschaft des Verkehrspersonals,verkehrsgewerkschaft,216636771699155,#216636771699155,115,3253,"28,3",non
Vert'libéraux de la Ville de Genève,vertliberauxvilledegeneve,1623095897911893,#1623095897911893,115,3256,"28,3",non
Musée de l'Élysée - Lausanne,elysee.lausanne,200390393309054,#200390393309054,114,2405,"21,1",non
Le Dernier Survivant,lederniersurvivantrun,585019571950818,#585019571950818,114,4761,"41,8",non
Vert'libéraux Valais / Grünliberale Wallis,pvl.valais,364457210935073,#364457210935073,114,1493,"13,1",non
UPU,universalpostalunion,229846430389019,#229846430389019,114,2497,"21,9",non
Cully Jazz Festival,cullyjazz,7152697711,#7152697711,113,9983,"88,3",non
Label Suisse Festival,labelsuisse,135573769800644,#135573769800644,113,2362,"20,9",non
Panino Giusto,paninogiustosuisse,324864981529689,#324864981529689,113,1955,"17,3",non
Théâtre de Beausobre,beausobre.ch,157784657584689,#157784657584689,112,4178,"37,3",non
Guillaume Bodin,gui.bodin,1470043216637180,#1470043216637180,112,36013,"321,5",non
Christina Kitsos,kitsoschristina,102487154501174,#102487154501174,112,2086,"18,6",non
Les Tontons SA,lestontons.ch,341084889650382,#341084889650382,112,944,"8,4",non
Mara Mestre fotografia,maramestrefotografia,391882431617394,#391882431617394,112,1866,"16,7",non
Parti socialiste Commune de Neuchâtel,psneuch,252775958437075,#252775958437075,112,1766,"15,8",non
RRP Production,rrpproduction,155511411164216,#155511411164216,112,684,"6,1",non
Verbier Festival,verbierfestival,120755801335616,#120755801335616,112,3037,"27,1",non
We Like Louis De Funès,WeLikeLouisDeFunes,1824361581200575,#1824361581200575,112,842176,"7519,4",non
Bikini Test,bikinitest,14285695075,#14285695075,111,2325,"20,9",non
Enfants du Monde,EnfantsDuMonde,44318694693,#44318694693,111,1602,"14,4",non
Menzi Muck,menzimuckcom,99604037921,#99604037921,111,8534,"76,9",non
Banque Migros,migrosbank.FRA,697396147261347,#697396147261347,111,647,"5,8",non
solidaritéS Neuchâtel,solidaritesne,866828686695235,#866828686695235,111,1026,"9,2",non
CRPM,crpm.ch,1510020082347557,#1510020082347557,110,1040,"9,5",non
SWISSPEAK Resorts,swisspeakresorts,951405265012428,#951405265012428,110,1864,"16,9",non
VT Vacances,vtvacances,165038360182979,#165038360182979,110,4170,"37,9",non
Swiss International Air Lines,FlySWISS.GVA,159608894241501,#159608894241501,109,24695,"226,6",non
Les Mosses Tourisme,lesmossestourisme,533099253454235,#533099253454235,109,3384,31,non
Marie-France Roth Pasquier,MFRP20.10,312987705938053,#312987705938053,109,1402,"12,9",non
Fondation Solyna,fondationsolyna,150068568507588,#150068568507588,108,1954,"18,1",non
Le Port Franc,leportfranc,1522445294660212,#1522445294660212,108,2499,"23,1",non
McDonald's,McDonaldsSwitzerland,168259133186421,#168259133186421,108,7804,"72,3",non
Parti socialiste lausannois,PSLausanne,141575012545020,#141575012545020,108,4110,"38,1",non
La Marina Neuchâtel,lamarinaneuchatel,1206725542684996,#1206725542684996,107,3758,"35,1",non
PLR Commune de Neuchâtel,PLR.CommuneNeuchatel,112902146937357,#112902146937357,107,2605,"24,3",non
Baby & Kid Planet,babykidplanet,1452130218337756,#1452130218337756,106,712,"6,7",non
HEIG-VD (Haute Ecole d'Ingénierie et de Gestion du Canton de Vaud),HEIGVD,278764585476106,#278764585476106,106,1075,"10,1",non
Thyon Skiresort,thyon4vallees,298283033560877,#298283033560877,106,4271,"40,3",non
Do it + Garden,doitgardenChFrIt,382164755481745,#382164755481745,105,6296,60,non
Meyrin Centre Centre Commercial,meyrincentre,143794139103497,#143794139103497,105,8404,80,non
BARON.E,noussommesbaronbarone,344740959508507,#344740959508507,105,2963,"28,2",non
Lorenzo Quadri,quadrilorenzo,319489474847839,#319489474847839,105,4971,"47,3",non
SwissSkills,swissskills,199328384827,#199328384827,105,3006,"28,6",non
Abarth,Abarth.Switzerland,84492090075,#84492090075,104,3077,"29,6",non
Atupri,AtupriSuisse,481913062195561,#481913062195561,104,3681,"35,4",non
Grève du Climat - Suisse,GreveDuClimatSuisse,2320144301549646,#2320144301549646,104,6899,"66,3",non
homegate.ch,homegate.suisse,455418398247317,#455418398247317,104,2022,"19,4",non
Le Marché de Gland,lemarchedegland,420140048109706,#420140048109706,104,2920,"28,1",non
Angelique Grimm - Grimm's Tattoo,AngeliqueGrimmTattoo,493740280741083,#493740280741083,103,186525,"1810,9",non
Ema Krusi,EmaKrusi29,100057414430889,#100057414430889,103,89514,"869,1",non
"Fondation Fellini pour le cinéma - Maison du diable, Espace culturel, Sion",fondationfellinimdd,222000207819475,#222000207819475,103,715,"6,9",non
ifolor,ifolor.suisse,188141255067264,#188141255067264,103,1380,"13,4",non
Migros Valais,migrosvalais,174759329227448,#174759329227448,103,49214,"477,8",non
Swiss Medical Network,swissmedicalnetwork,205470722820690,#205470722820690,103,2095,"20,3",non
VINEA,VineaSierre,121376778420,#121376778420,103,3460,"33,6",non
Conthey Show,ContheyShow,317824419112777,#317824419112777,102,1525,15,non
SWISSAID,swissaid.global,56981843772,#56981843772,102,1749,"17,1",non
UDC du district de Sion,udcdudistrictdesion,459946274062366,#459946274062366,102,948,"9,3",non
Les Verts de Sion-Hérens-Conthey,vertsion,375007672568434,#375007672568434,102,2782,"27,3",non
Ville du Locle,villedulocle,313243066224164,#313243066224164,102,5567,"54,6",non
Genève Volley,Genevevolley,411168500464,#411168500464,101,2782,"27,5",non
I Believe In You France,ibiyFR,309367859217569,#309367859217569,101,2709,"26,8",non
Franke,FrankeHome.France,488082144698644,#488082144698644,100,1411,"14,1",non
Schweizerische Gesellschaft für Aussenpolitik SGA ASPE,sgaaspe,265215786833271,#265215786833271,100,110,"1,1",non
The Olympic Museum - Le Musée Olympique,theolympicmuseum,129489320449705,#129489320449705,100,5713,"57,1",non
Swiss Volley,volleyball.ch,279420418879996,#279420418879996,100,5096,51,non
