page,pseudo,fbid,fbid#,nb,interactions,intMoyennes,média
Blog villageois Condroz,BlogNandrin,192521820763002,#192521820763002,1567,20637,"13,2",non
Francis Kakonde Muso-page fans.,franciskakonde,271211293027327,#271211293027327,1566,136759,"87,3",non
Merveille du monde,merveilledumondejaninevero,504459312995475,#504459312995475,1565,21344119,"13638,4",non
DH - Standard,dhstandard,839354399554392,#839354399554392,1559,273636,"175,5",oui
La Capitale Sports Bruxelles Brabant Wallon,LaCapitaleSports,237658342937510,#237658342937510,1548,20521,"13,3",oui
Matélé,MAtele.be,246451148734519,#246451148734519,1537,185278,"120,5",oui
Internazionale.fr,intermilanfrance,109630892613,#109630892613,1533,418458,273,non
Anderlecht News,RSCAnderlechtnews1,529351137088874,#529351137088874,1525,98029,"64,3",non
Liège - VivaCité RTBF,VivaCiteLiege,167533249951335,#167533249951335,1499,71103,"47,4",oui
Diables Rouges,DiablesRougesdeBelgique,490808480937360,#490808480937360,1479,204812,"138,5",non
Disneyland Fans Paris,DisneylandFansParis,143389652484447,#143389652484447,1467,839497,"572,3",non
Moustique,Moustiquemag,39240987307,#39240987307,1460,58784,"40,3",non
Premier League France,PLFrance8,104261771185013,#104261771185013,1453,281366,"193,6",non
Carine Mokonzi La Baronne,carine.mokonzi,700220813348988,#700220813348988,1433,429750,"299,9",non
Poils et Moustaches,poils.moustaches.asbl,1415780000000000,#1415779315337330,1424,211639,"148,6",non
La Meuse La Nouvelle Gazette Sports Namur Sambre-Meuse,sudinfosportsnamur,435878169935157,#435878169935157,1390,27090,"19,5",oui
MAMA Africa News,MAMAAfricaNews0912,103517667811136,#103517667811136,1379,180980,"131,2",non
Classic 21 Metal - Classic 21 RTBF,Classic21Metal,1385420365111677,#1385420365111677,1377,164724,"119,6",non
So Soir,SoSoirMagazine,180917988593924,#180917988593924,1356,61075,45,non
Gocar.be,gocar.be,185887798105437,#185887798105437,1346,260980,"193,9",non
Musiq3 - RTBF,Musiq3,10784328482,#10784328482,1345,1163250,"864,9",non
