page,pseudo,fbid,fbid#,nb,interactions,intMoyennes,média
JudgeHype,JudgeHype,43062516818,#43062516818,495,112565,"227,4",non
Docteur Résimont,docteur.resimont,439916629466357,#439916629466357,494,227001,"459,5",non
Enseignons.be,Enseignons,132554919411,#132554919411,494,145259,294,non
Commission européenne en France,UEenFrance,173257392750594,#173257392750594,494,70574,"142,9",non
Pierre-Yves Jeholet,JeholetPY,22359873725,#22359873725,493,40482,"82,1",non
Wallonie-Bruxelles International,wallonie.bruxelles.international,277813235615041,#277813235615041,492,9608,"19,5",non
Nord Eclair Sports Wallonie Picarde,NordEclairSportsWalloniePicarde,416286635673751,#416286635673751,491,5888,12,non
Mikl Officiel,MiklOfficiel,100044313885285,#100044313885285,490,207627,"423,7",non
Immovlan,immovlan,279812009663,#279812009663,490,136267,"278,1",non
Visit Mons,visitmons,484334084953577,#484334084953577,486,23750,"48,9",non
"Nordiscount Dour , Grossiste - Semi Gros - Particulier",nordiscount,1134924799888003,#1134924799888003,486,12418,"25,6",non
DéFI,DemocrateFederalisteIndependant,173518112695794,#173518112695794,485,76963,"158,7",non
Chérie Belgique,CherieBelgique,719848554796524,#719848554796524,485,11888,"24,5",non
La pause marrante,lapausemarrante,109988380372004,#109988380372004,482,52934,"109,8",non
DH Thudinie Gerpinnes,dh.thudinie.gerpinnes,724227071312163,#724227071312163,482,14707,"30,5",oui
Portail Secret,portailsecretstory,318480471565205,#318480471565205,482,13291,"27,6",non
Université de Liège,universitedeliege,135154789883767,#135154789883767,481,34825,"72,4",non
UCLouvain – Université catholique de Louvain,UCLouvain,1486824348195973,#1486824348195973,480,102080,"212,7",non
La Meuse Sports Huy Waremme,LaMeuseSportsHuyWaremme,892472201130972,#892472201130972,478,5478,"11,5",oui
Woman and material & Aimee Virgile Makougoum,Artisteaucameroun,1546498835457341,#1546498835457341,475,1356705,"2856,2",non
Michèle Walass,Michele.Walass,2382305438716299,#2382305438716299,475,51733,"108,9",non
Marie Claire Belgique,MarieClaire.Belgique,192722374080568,#192722374080568,475,40585,"85,4",non
Commune d'Amay,administrationcommunale.amay,486391538169063,#486391538169063,473,26891,"56,9",non
ShootLux.be,shootlux.be,223411611043749,#223411611043749,471,180310,"382,8",non
AraBel.fm,AraBel.fm,545546635499238,#545546635499238,470,43372,"92,3",non
Focus Vif,focusvif,159772934075185,#159772934075185,470,6903,"14,7",non
Shopforgeek Poitiers,ShopForGeekPoitiers,102404907805399,#102404907805399,469,5894,"12,6",non
LYON OR,gonesandgold,840022119487893,#840022119487893,468,303794,"649,1",non
Equnews.fr,equnewsfr,188517441332069,#188517441332069,468,15533,"33,2",non
Artemio,ArtemioIdeas,295107518212,#295107518212,467,23911,"51,2",non
Antipode radio,antipode.radio,181361235225991,#181361235225991,466,14834,"31,8",non
Michèle Torr - 50 ans d'amour,micheletorr50ans,483135211731035,#483135211731035,465,460030,"989,3",non
DH - esports,EsportsDH,2027069220841118,#2027069220841118,465,25519,"54,9",non
Les Twins Officiel,LesTwinsOfficiel237,100044180481968,#100044180481968,463,369226,"797,5",non
Les Grenades - RTBF,lesgrenades,1010298882498268,#1010298882498268,463,77920,"168,3",non
AVIQ - Agence pour une Vie de Qualité,aviq.be,233669263314291,#233669263314291,462,59672,"129,2",non
Ville de Ciney,villeciney,577731925729018,#577731925729018,460,83299,"181,1",non
"L'emmerdeuse, S&A",Styles.et.Astuces,535911219886004,#535911219886004,459,32982,"71,9",non
Auto Trends Magazine,LeMagazineAUTOTRENDS,127669573966714,#127669573966714,459,7189,"15,7",non
Ville de Herstal,villedeherstal,150105025189,#150105025189,458,62622,"136,7",non
DH Foot Hainaut,dhfoothainaut,2260671313985427,#2260671313985427,457,5579,"12,2",non
AS Eupen news,as.eupen.news,693648970773679,#693648970773679,454,14189,"31,3",non
Université Saint-Louis - Bruxelles,UniversiteSaintLouisBruxelles,100709786672729,#100709786672729,453,12531,"27,7",non
ULB Confessions,ULBConfessions,1571449739734454,#1571449739734454,451,454160,1007,non
Commune de Chaumont-Gistoux,communechaumontgistoux,1654479618132371,#1654479618132371,451,16025,"35,5",non
Le mouvement de La voix du peuple,lmvp.be,362819870737556,#362819870737556,450,401196,"891,5",non
Victoria France officiel,victoriafranceofficiel,493563220668341,#493563220668341,449,388243,"864,7",non
Nyah,modepourpetitetgrand,1571010093174847,#1571010093174847,449,21281,"47,4",non
L'assiette des 4 pattes asbl,assiettedes4pattes,142667426095440,#142667426095440,448,191526,"427,5",non
Djanii Alfa,Djanii.X,118371674950932,#118371674950932,447,963807,"2156,2",non
Jamal Ikazban,jikazban,1584980545091433,#1584980545091433,445,12464,28,non
Germain Mugemangango,GermainMugemang,1250264775043336,#1250264775043336,443,35073,"79,2",non
DH Foot liégeois,dhfootliegeois,2015145748786277,#2015145748786277,442,5851,"13,2",non
Les masques tombent,lesmasquestombentX,102282501545692,#102282501545692,440,333403,"757,7",non
Hainaut - VivaCité RTBF,VivaCiteHainaut,220699107987356,#220699107987356,440,16928,"38,5",oui
Zone de Police Ottignies Louvain-la-Neuve,zonedepoliceottignieslouvainlaneuve,884374351740759,#884374351740759,439,32545,"74,1",non
Bientôt à table - La Première RTBF,BientotATable,262737832438,#262737832438,439,16205,"36,9",non
Proximus Sports Belgian Football,ProximusSportsBelgianFootball,528438747340301,#528438747340301,436,7696,"17,7",non
Mons Gestion Centre Ville,monscentreville,1401850926745802,#1401850926745802,435,39413,"90,6",non
PointCarré,PointCarre.Belgium,110739135632548,#110739135632548,435,25060,"57,6",non
DH - Basket,dhbasket,1519735478097046,#1519735478097046,435,19135,44,oui
Ville De Virton,villedevirton,485090765004032,#485090765004032,435,17603,"40,5",non
Facebouc-Kmer,facebouc.kmer,360518697357871,#360518697357871,435,12404,"28,5",non
Les enfants du retro,LesEnfantsDuRetro,200554347502826,#200554347502826,431,518571,"1203,2",non
Commune de Braine-l'Alleud - page officielle,commune.braine.lalleud,185764148134228,#185764148134228,430,36645,"85,2",non
Luxembourg - VivaCité RTBF,VivaciteMatinLuxembourg,171119572964878,#171119572964878,430,12825,"29,8",oui
Red Flag Belgium,RedFlagBelgiumMUSC,114416362066281,#114416362066281,428,202177,"472,4",non
Les Ambassadeurs - RTBF,lesambassadeursRTBF,219335414783417,#219335414783417,428,128177,"299,5",non
Sophie Rohonyi,sophierohonyidefi,364922816975999,#364922816975999,428,32235,"75,3",non
Théâtre de Liège,theatredeliege.be,129031427176133,#129031427176133,428,23755,"55,5",non
Zone de Police Boraine,policeboraine,181541255303619,#181541255303619,427,129752,"303,9",non
Neveo,neveojournal,917576204959166,#917576204959166,425,140980,"331,7",non
Venesol,venesolidarite,466569907052765,#466569907052765,422,27959,"66,3",non
Imagix,cinemas.imagix,115974811834015,#115974811834015,421,28657,"68,1",non
Midis de la poésie,midisdelapoesie,188356451201235,#188356451201235,420,14434,"34,4",non
RCF Liège,RCFLiege,516789748370167,#516789748370167,420,8467,"20,2",non
Mission Régionale Huy-Waremme,missionregionaleHuyWaremme,1580853668810741,#1580853668810741,417,10429,25,non
أخبارنا الجالية Akhbarona Aljalia,akhbarona.aljalia.ma,1656288771336895,#1656288771336895,417,6197,"14,9",non
Christophe Collignon,christophe.collignonbis,1664574593761957,#1664574593761957,416,42590,"102,4",non
Van der Valk Sélys Liège,vandervalkselys,110373449043456,#110373449043456,416,37928,"91,2",non
collectif citoyen,LeCollectifCitoyen,235263984020420,#235263984020420,416,19964,48,non
Maniet ! Luxus,Maniet.Luxus,117580188283193,#117580188283193,414,84561,"204,3",non
Psychoéducation.be,psychoeducation.be,435803093101175,#435803093101175,412,114913,"278,9",non
Le blog de la commune d'Oreye,blogoreye,191365497607829,#191365497607829,412,23931,"58,1",non
Cycling Team Bingoal-WB,CTBingoalWB,2156518884612034,#2156518884612034,411,35534,"86,5",non
La Meuse Sports Verviers,LaMeuseSportsVerviers,457472058439962,#457472058439962,411,4361,"10,6",oui
Vews - RTBF,VewsRTBF,1616350000000000,#1616347365105980,410,3422917,"8348,6",oui
Ville de Péruwelz,villedeperuwelz,189131641139540,#189131641139540,410,22827,"55,7",non
QUINTESSENCE,quintessence.givry,43051499423,#43051499423,409,103305,"252,6",non
Brusselslife.be,brusselslife,24386462765,#24386462765,408,12922,"31,7",non
MR Courcelles,mrcourcelles,817507525011461,#817507525011461,407,5284,13,non
Jérôme de Warzée,jeromedewarzee,325548624159988,#325548624159988,406,2481480,6112,non
Maxi Toys België/Belgique,MaxiToys.BE,378362712787739,#378362712787739,405,82187,"202,9",non
Willy Borsus,wborsus,102325620186,#102325620186,399,66883,"167,6",non
Wallonie Tourisme,VisitWallonia,304452632298,#304452632298,399,29254,"73,3",non
Leon Lebouchon,Leonlebouchonrtl,254522012134393,#254522012134393,398,38730,"97,3",non
PS Mons-Borinage,psmonsborinage,132596773464688,#132596773464688,398,13950,"35,1",non
Galas de Claude François de 1962 à 1978,ClaudeFrancoisFleche,113807308727261,#113807308727261,396,184073,"464,8",non
Matière Grise - RTBF,MatiereGriseRTBF,111626665520761,#111626665520761,395,41898,"106,1",oui
Alternative-Saint Ghislain,alternative7330,754146324647888,#754146324647888,395,5595,"14,2",non
"Happy Earth NOW - Animaux, Humains, Planète",HappyEarthNow,465167890514390,#465167890514390,393,300225,"763,9",non
Elio Di Rupo,elio.dirupo,16301530829,#16301530829,393,206540,"525,5",non
POUR,pour.press,761506467280582,#761506467280582,393,162900,"414,5",non
"Hervé Jamar, Gouverneur de la province de Liège",Gouverneur.Province.de.Liege,438316056202063,#438316056202063,393,33638,"85,6",non
Ville de Seraing,VilleDeSeraing,310581322390290,#310581322390290,392,62505,"159,5",non
Futsal Team Charleroi,FutsalTeamCharleroi1,406228479426755,#406228479426755,392,15196,"38,8",non
𝐹𝓊𝒸𝓀 𝐿𝑜𝓋𝑒,IHateYouAndOnlyU,451385958774116,#451385958774116,391,887657,"2270,2",non
"SPF Santé publique, Sécurité de la Chaîne alimentaire et Environnement",santebelgique,181157735273342,#181157735273342,390,671138,"1720,9",non
David Jeanmotte,davidjeanmotteofficiel,100044316585489,#100044316585489,390,63981,"164,1",non
Ville de Châtelet,VilleChatelet,125640077858361,#125640077858361,390,51707,"132,6",non
Hockeybelgium,HockeyBelgium.LeSoir,228571260291,#228571260291,390,23541,"60,4",non
Le Biais Vert,lebiaisvert,1860988024225247,#1860988024225247,386,180698,"468,1",non
Parti Socialiste (PS),psofficiel,518402351504731,#518402351504731,386,172905,"447,9",non
Ville d'AUBANGE,VilleDaubange,202831226782468,#202831226782468,386,19928,"51,6",non
Moto 80,moto80magazine,333567398309,#333567398309,383,21003,"54,8",non
Namur CentreVille,namurcentreville,412742165573126,#412742165573126,383,15874,"41,4",non
Plus Magazine,plusmagazinefr,111942625928,#111942625928,383,9045,"23,6",non
Greenpeace Belgium,greenpeace.belgium,73232790238,#73232790238,382,108902,"285,1",non
Centrale Générale - FGTB,CG.FGTB,201359506543663,#201359506543663,382,67141,"175,8",non
FGTB Liège-Huy-Waremme,fgtb.liegehuywaremme,139847182721577,#139847182721577,382,12578,"32,9",non
Ville de Marche-en-Famenne,VilledeMarcheenFamenne,152999594777489,#152999594777489,381,50449,"132,4",non
Elvis King'Z Shop,elviskingz,1533825670193247,#1533825670193247,380,32392,"85,2",non
C'est pas tous les jours dimanche - RTL TVI,dimancheRTL,1033191353387531,#1033191353387531,379,260976,"688,6",non
MR - Mouvement Réformateur,MRbe,236330169511,#236330169511,379,117622,"310,3",non
Pro League,ProLeagueBE,107215288450,#107215288450,379,14033,37,non
Ville de Saint-Ghislain,villedesaintghislain,160358351116490,#160358351116490,378,22064,"58,4",non
Plus d'Arbres Moins de Connards,plusdarbres,308982009238507,#308982009238507,375,529936,"1413,2",non
Le grand COOL BLACK,bysnessproduction,2076536979338054,#2076536979338054,375,268799,"716,8",non
Willy Demeyer,willy.demeyer,100044140554129,#100044140554129,374,133949,"358,2",non
Fédération des Centres de Planning familial des FPS,fcpf.fps,439643339483524,#439643339483524,374,8032,"21,5",non
Commune de Nassogne,AC.Nassogne,644709489225970,#644709489225970,374,7495,20,non
Kinepolis Belgium,Kinepolis,76938341911,#76938341911,373,52943,"141,9",non
"Sylvie Guillaume, députée européenne",sylvieguillaume.deputeeeuropeenne,327416072106,#327416072106,373,13135,"35,2",non
PAN,panlofficiel,187016391321564,#187016391321564,372,226400,"608,6",non
Commune d'Ixelles,communeixelles,212420992213055,#212420992213055,372,22072,"59,3",non
La Maison Victor,LaMaisonVictor,559912960718089,#559912960718089,372,10348,"27,8",non
Le Grand Cactus - RTBF,LeGrandCactus,1605275039738533,#1605275039738533,371,4232858,"11409,3",non
Domaine des Grottes de Han,grottesdehanofficial,212317058803308,#212317058803308,371,177569,"478,6",non
The Voice Belgique - RTBF,thevoicebelgique,133203020093962,#133203020093962,370,4179007,"11294,6",non
Olympic Charleroi,olympic.charleroi.be,123764381002792,#123764381002792,370,13153,"35,5",non
Monde Sauvage,mondesauvageaywaille,210931228967469,#210931228967469,369,272133,"737,5",non
Jeunes anticapitalistes (JAC),jeunes.anticapitalistes,209714972375994,#209714972375994,369,8778,"23,8",non
Visit Tournai,visittournai,186672838040653,#186672838040653,367,20932,57,non
Ville de Visé,villedevise,566909173356988,#566909173356988,367,19793,"53,9",non
Commune de Pont-à-Celles,pontacelles.be,118100181603412,#118100181603412,366,16555,"45,2",non
Viroinval Infos,Viroinval.Infos,1978392108855192,#1978392108855192,366,10316,"28,2",non
Groupe Ms Motor,groupemsmotor,1645171365717631,#1645171365717631,366,9815,"26,8",non
Le Delta,ledeltanamur,112335261303,#112335261303,365,10543,"28,9",non
Charles MICHEL,CharlesMichel,238067622916310,#238067622916310,364,112238,"308,3",non
ASBL Navetteurs.be,navetteurs.be,31650678531,#31650678531,364,29810,"81,9",non
Ville de Braine-le-Comte,page.brainelecomte,301646779883098,#301646779883098,364,23922,"65,7",non
Krëfel,krefel,143555695667007,#143555695667007,364,17502,"48,1",non
Les Amis de la Terre-Belgique,amisdelaterre.be,1581550975450765,#1581550975450765,364,11530,"31,7",non
Ecoterre,Ecoterre,86247873917,#86247873917,363,23773,"65,5",non
IC Rumes - Intérêts Communaux,GroupeIcRumes,276935579069227,#276935579069227,363,12048,"33,2",non
Aurelie Czekalski,AurelieCzekalski.MR,572079523148892,#572079523148892,363,11660,"32,1",non
Comac étudiants,comacetudiants,386211174868638,#386211174868638,362,68784,190,non
Nature & Progrès Belgique,NatproBelgique,427232244076106,#427232244076106,361,20335,"56,3",non
Commune de Chaudfontaine,ChaudfontaineAC,142606543204890,#142606543204890,361,15977,"44,3",non
AWSA-Be جمعية تضامن المرأة العربية Arab Women's Solidarity Association,AWSABelgium,107717866480813,#107717866480813,361,5548,"15,4",non
Rise for Climate Belgium: Citizen Mobilization to save Humanity,Rise4ClimateBE,458512257969541,#458512257969541,360,15466,43,non
Université de Namur,UniversitedeNamur,383906301656874,#383906301656874,359,15891,"44,3",non
Oasis Meuse Liège,oasismeuseliege,167727613434902,#167727613434902,358,23468,"65,6",non
Natagora,natagora,159125283874,#159125283874,356,242036,"679,9",non
AnimaVeg,AnimaVeg,112510603913,#112510603913,356,229745,"645,4",non
Office du tourisme de Flémalle,Flemalletourisme,1562980000000000,#1562984780663840,356,15486,"43,5",non
Georges-Louis Bouchez,glbouchez,341174129258800,#341174129258800,354,552917,"1561,9",non
"Fée comme ci,fée comme ça",feecommecifeecommeca.be,600611943420488,#600611943420488,354,91394,"258,2",non
Fédération des Services Sociaux - FdSS,FdSSFdSSb,1836129893366572,#1836129893366572,354,9043,"25,5",non
Commune de Court-Saint-Etienne,courtsaintetienne,175633002846009,#175633002846009,353,15731,"44,6",non
Ville de Fleurus,VilledeFleurus,2291521627802477,#2291521627802477,350,22525,"64,4",non
Jacques Gobert,jacquesgobert.be,75951065671,#75951065671,349,38831,"111,3",non
WWF-Belgium,WWF.be,110844205773,#110844205773,348,94249,"270,8",non
Céline Tellier,Ministre.Tellier,103317697766869,#103317697766869,348,51327,"147,5",non
Gauthy Christopher,GauthyChristopher,215458385252682,#215458385252682,346,7261,21,non
Relais pour la vie à Braine-l'Alleud,Relaispourlaviebraine,192658134169312,#192658134169312,345,7971,"23,1",non
Que faire dans le Hainaut? Quefaire.be,quefairedanslehainaut,977064609016719,#977064609016719,345,2235,"6,5",non
Marbaise,Marbaise.chaussures,72150205548,#72150205548,344,108638,"315,8",non
Maxime Prévot,prevotmaximebis,151415551700582,#151415551700582,344,59158,172,non
Godisiabois Catherine Naturopathie Vitasante,catgodi,1395313830776444,#1395313830776444,342,30799,"90,1",non
Eating.be,eating.be,203526286371757,#203526286371757,342,20200,"59,1",non
Association Francophone de Tennis A.S.B.L. (AFT),aft.tennis,235371613174149,#235371613174149,341,28070,"82,3",non
DH Beloeil Péruwelz Leuze,dhbeloeil,326950237990326,#326950237990326,341,9319,"27,3",oui
Martin Bonheur - RTL TVI,MartinBonheurRTLTVI,468595469851770,#468595469851770,340,11860,"34,9",non
CADTM,CADTMNETWORK,168508987177,#168508987177,340,11265,"33,1",non
Hôtel Verviers Van Der Valk,hotelverviers.wohrmann,566362033415074,#566362033415074,339,33442,"98,6",non
Christophe Lacroix,LacroixCh,487300758065559,#487300758065559,339,26308,"77,6",non
Classic 21 Lounge - Classic 21 RTBF,Classic21Lounge,1489127197970527,#1489127197970527,339,5754,17,non
Pastel,BOUTIQUE.PASTEL.SHOP,202656389841210,#202656389841210,338,16556,49,non
ADL Bastogne,adl.bastogne,436682603185410,#436682603185410,338,5848,"17,3",non
Ville de Hannut,villedehannut,610321062464486,#610321062464486,337,11136,33,non
CHU de Liège,CHULiege,38552806905,#38552806905,336,203602,606,non
CHR de la Citadelle - Liège,chrcitadelleliege,218927351547395,#218927351547395,336,139362,"414,8",non
Ecolo Tournai,EcoloTournai,1856253501265557,#1856253501265557,336,7887,"23,5",non
Commune d'Ecaussinnes,CommuneEcaussinnes,116074985254886,#116074985254886,335,17631,"52,6",non
Sophie Thémont,themontsophie,107406617346301,#107406617346301,334,10535,"31,5",non
PS Entité Saint-Ghislain,PSstGhislain,321993238206337,#321993238206337,334,7889,"23,6",non
Julien Lapraille,julienlaprailletopchef,100044385580939,#100044385580939,333,83987,"252,2",non
DECO 3000,deco3000,237569722975482,#237569722975482,332,67569,"203,5",non
Groupe PS à la Chambre,PSChambre,773748649306029,#773748649306029,332,67495,"203,3",non
Gualap,gualapshop,197234603782388,#197234603782388,331,58841,"177,8",non
Van der Valk Congres Hotel Liège,Vandervalkcongreshotelliege,129937517631397,#129937517631397,331,34167,"103,2",non
Zone de Police de Gaume,zonedepolicedegaume,345210115625183,#345210115625183,331,14842,"44,8",non
Le TEC,leTECofficiel,1434811983399827,#1434811983399827,330,193343,"585,9",non
Ville de Thuin,villedethuin,592886677435904,#592886677435904,330,21640,"65,6",non
Pôle muséal de la Ville de Mons - Officiel,polemuseal.mons,521305551237666,#521305551237666,330,21555,"65,3",non
Cellule Environnement,cellule.environnement,617787061574326,#617787061574326,330,15974,"48,4",non
Commune de Braives,ACBraives,2023327611226181,#2023327611226181,330,8305,"25,2",non
OUFtivi - RTBF,ouftivi,170585536443124,#170585536443124,330,7351,"22,3",non
FGTB,syndicatFGTB,171238582919259,#171238582919259,329,95643,"290,7",non
Conseils pour jeune maman,consels.pour.jeune.maman,1155564967937264,#1155564967937264,329,12083,"36,7",non
Namur - VivaCité RTBF,VivaCiteNamur,208313182566271,#208313182566271,329,7056,"21,4",oui
Barbara Trachte,BarbaraTrachteEcolo,114995313234557,#114995313234557,328,17656,"53,8",non
Proximus esports,Proximusesports,1871491662914175,#1871491662914175,328,14777,"45,1",non
FPS Liège,fpsliege,354702794548211,#354702794548211,328,6655,"20,3",non
Le Meilleur du Rap Français,RapFrancaisActuPromo,784995224935016,#784995224935016,327,221290,"676,7",non
Denis Ducarme,denisducarmeofficiel,367577357909,#367577357909,327,92731,"283,6",non
Ville de Mouscron,villemouscron,1401776583454812,#1401776583454812,327,58022,"177,4",non
Eat & Drink Shop,EatDrinkShop,621487204991765,#621487204991765,327,7950,"24,3",non
Ville de Genappe,VilledeGenappe,499602560398044,#499602560398044,326,9892,"30,3",non
La récup,larecup.be,140706466024206,#140706466024206,326,7829,24,non
FNRS,frs.fnrs,1530556013864709,#1530556013864709,326,6959,"21,3",non
Amnesty International Belgique francophone,amnestyBE,88984475432,#88984475432,325,74715,"229,9",non
Quai10,quai10charleroi,1749250255301187,#1749250255301187,325,12921,"39,8",non
DH Waterloo Braine-l'Alleud,dhwaterloobraine,2486942361348064,#2486942361348064,325,12596,"38,8",oui
Think Pink Belgique,ThinkPinkBelgique,202323273158129,#202323273158129,324,23563,"72,7",non
ADL Walcourt,adlwalcourt,1696953713943083,#1696953713943083,324,9922,"30,6",non
Fondation contre le Cancer,fondationcontrelecancer,128786917207448,#128786917207448,321,33610,"104,7",non
GRACQ,gracq,140919230419,#140919230419,321,32621,"101,6",non
Di All about beauty,dibeautyandcare,288422331321628,#288422331321628,321,11767,"36,7",non
Info Météo Belgique,infometeobelgique,171764353171208,#171764353171208,321,10940,"34,1",non
Couvin,photosdecouvin,344085479302534,#344085479302534,321,10007,"31,2",non
CHU UCL Namur,chuuclnamur,1650195301882192,#1650195301882192,320,75099,"234,7",non
BEP - Bureau économique de la Province de Namur,BEPNamur,107239694852,#107239694852,320,20978,"65,6",non
Lolita Shop,lolitashop55,113786680079912,#113786680079912,320,14570,"45,5",non
Bibliothèques d'Ans,bibliothequesdans,949132631829214,#949132631829214,320,3101,"9,7",non
Richard Fournaux,r.fournaux,325429424214573,#325429424214573,318,40985,"128,9",non
L'Union européenne au Sénégal,duesenegal,252027168220851,#252027168220851,318,7740,"24,3",non
STIB,lastib,146147145438265,#146147145438265,317,164298,"518,3",non
Festival International du Film Francophone de Namur,FIFFNamur,101871306539416,#101871306539416,317,8809,"27,8",non
La Libre Etudiant,lalibreetudiant,137261180412259,#137261180412259,316,61717,"195,3",oui
Quel temps - RTBF,queltemps,213636398781461,#213636398781461,316,20832,"65,9",non
"SPF Economie, P.M.E., Classes moyennes et Energie",SPFEco,341930059223443,#341930059223443,314,13504,43,non
Babette Jandrain,babette.jandrain.charleroi,2153260948330322,#2153260948330322,313,33233,"106,2",non
FPS - Femmes Prévoyantes Socialistes,femmes.prevoyantes.socialistes,170153653120903,#170153653120903,313,9630,"30,8",non
Sandrine modèle photos.,MissSandrinePhotoModele,100044344180342,#100044344180342,312,144242,"462,3",non
Plateforme Citoyenne -BxlRefugees- Burgerplatform,bxlrefugees,153279105011060,#153279105011060,311,56066,"180,3",non
Adeps - Officiel,AdepsOfficiel,488793621200504,#488793621200504,310,15854,"51,1",non
Carrefour,Carrefourbe,291477637981,#291477637981,308,71933,"233,5",non
Commune de Quiévrain,quievrain,107960142579440,#107960142579440,308,26211,"85,1",non
Eric Massin,eric.massin.charleroi,1402901329982707,#1402901329982707,308,15254,"49,5",non
"Marchés ""Saveurs et terroir"" à Dour",marches.saveurs.terroir.dour,541724152551158,#541724152551158,307,17981,"58,6",non
Doudou Mons,RadioDoudou,194376780600589,#194376780600589,307,8514,"27,7",non
Csc Du Brabant Wallon,csc.dubrabantwallon,704860952939674,#704860952939674,307,6571,"21,4",non
Debout avec un Handicap Invisible,deboutavecunhandicapinvisible,1630690000000000,#1630694220538930,306,398352,"1301,8",non
Zone de police Famenne Ardenne,zonedepoliceFamenneArdenne,627850723903044,#627850723903044,306,79008,"258,2",non
La Nosta Family,LaNostaFamily,232316153836371,#232316153836371,306,46756,"152,8",non
Jacqueline Galant,JacquelineGalant7050,304080633021701,#304080633021701,305,74606,"244,6",non
Commune de Honnelles,communedehonnelles,655548707963427,#655548707963427,305,9058,"29,7",non
Cactus Club,CactusClub,114795668630711,#114795668630711,304,17071,"56,2",non
Keleba Shop Online,kelebaBoutiqueEnline,293286167787225,#293286167787225,304,11977,"39,4",non
Florence Mendez,florencemendezhumoriste,983804501674650,#983804501674650,303,97663,"322,3",non
Province de Luxembourg,LaProvincedeLuxembourg,250589285071475,#250589285071475,303,22287,"73,6",non
DH - Mouscron,dhmouscron,1739171626386974,#1739171626386974,303,4377,"14,4",oui
Gaëtan Van Goidsenhoven,gaetanvangoidsenhoven.be,1581700000000000,#1581695045419840,302,10761,"35,6",non
Emergences,emergences,316641328364979,#316641328364979,301,58891,"195,7",non
Sofie Merckx,sofie.merckx.ptb,296289134485339,#296289134485339,301,43729,"145,3",non
Ville de Spa,villedespa,214869561904111,#214869561904111,300,20887,"69,6",non
Fédération Wallonie-Bruxelles/Officiel,fedewalloniebruxelles,290786791129614,#290786791129614,300,8171,"27,2",non
Ilios Kotsou,kotsou,100044365482150,#100044365482150,299,287106,"960,2",non
Philosovie,Philosovie,229666707144176,#229666707144176,299,5849,"19,6",non
MadeinBelgium,madeinbelgium.me,310830426470424,#310830426470424,298,200066,"671,4",non
Raphine ntumba el patronna,RAPHINEOFFICIEL,461977710677445,#461977710677445,298,139259,"467,3",non
Sophie Pécriaux,sophie.pecriauxbis,217807911678828,#217807911678828,298,5540,"18,6",non
Materne Belgium,MaterneBelgium,423697204367537,#423697204367537,297,11573,39,non
Commune de La Hulpe,LaHulpeofficiel,113924505339167,#113924505339167,297,10060,"33,9",non
Antifascist Action Belgium,antifaBelga,315768908442904,#315768908442904,297,5763,"19,4",non
Commune de Fernelmont,commune.fernelmont,252873625110771,#252873625110771,296,12646,"42,7",non
Excel Mouscron News,Mouscronnews,1709059816066747,#1709059816066747,296,5893,"19,9",non
Marc Botenga,BotengaM,544164299401463,#544164299401463,295,108806,"368,8",non
Politie Brussel HOOFDSTAD Elsene - Police de Bruxelles CAPITALE Ixelles,ZPZ5339,891952044173124,#891952044173124,295,19818,"67,2",non
InfoEvere,InfoEvere,237543759670661,#237543759670661,295,16397,"55,6",non
Commune de Fléron,communedefleron,1197384983756733,#1197384983756733,294,27398,"93,2",non
Actu People Live.,ActuPeopleLive,187125884770347,#187125884770347,293,213211,"727,7",non
Ville de Dinant,VilleDinant,295363523870593,#295363523870593,293,18878,"64,4",non
Les vagabonds sans trêves,LesVagabondsSansTreves,575127209320537,#575127209320537,293,4322,"14,8",non
Le combattant B-69,WILFREEDIRIE,107837040733121,#107837040733121,292,1393450,"4772,1",non
Christie Morreale,morrealechristie,1545528565672945,#1545528565672945,292,73359,"251,2",non
Commune de Soumagne,communesoumagne,310721652339406,#310721652339406,292,24428,"83,7",non
Commune de Boussu,commune.de.boussu.be,197948193663146,#197948193663146,291,36492,"125,4",non
Israël en Belgique - Israël in België,IsraelinBelgium,144611498912911,#144611498912911,290,15215,"52,5",non
"Stoemp, Pèkèt et des rawettes - RTBF",stoemppeket,360630227404884,#360630227404884,289,16658,"57,6",non
Commune de Wanze,ac.wanze,1485730000000000,#1485730995071850,288,17277,60,non
Kinepolis Lomme,kinepolislomme,290249157719855,#290249157719855,287,29911,"104,2",non
Sous Couverture - RTBF,souscouverturertbf,454634945787,#454634945787,287,15488,54,non
Zumba Namur,ZumbaNamur,374855852558079,#374855852558079,287,8072,"28,1",non
Schaerbeek 1030 Schaarbeek,1030be,928644903871292,#928644903871292,286,23827,"83,3",non
ilovesaintjosse,sjtnbrussels,159721664071319,#159721664071319,286,4537,"15,9",non
Sans Blanc de Rien,SansBlancdeRien,606256346508221,#606256346508221,285,16544,58,non
La République Dominicaine Belux,repdom.belux,1407525342890532,#1407525342890532,285,8501,"29,8",non
Reveil TV SAT,reveiltvsat,1389519891303061,#1389519891303061,284,167196,"588,7",non
Actu-Moteurs.com,ActuMoteurs,363986103706390,#363986103706390,284,9185,"32,3",non
Intermarché,intermarcherecogne,370024493070383,#370024493070383,284,8796,31,non
Diocèse de Liège - Bistum Lüttich,DiocesedeLiegeBistumLuttich,147628725280666,#147628725280666,282,4360,"15,5",non
