page,pseudo,fbid,fbid#,nb,interactions,interactions/post,info?
Météo Côte D'Azur - En Direct,meteoCA,506941822737094,#506941822737094,930,1372046,"1475,3",non
Pitchou Mangaya,mangayapitchou,100045405788649,#100045405788649,930,884271,"950,8",non
Leopard Leader Foot,leopardleaderfoot,883044081723844,#883044081723844,927,1298149,"1400,4",non
Leanelis.com,leanelis.l,1483138635258554,#1483138635258554,924,1293492,"1399,9",non
Gentside Gaming,Gentsidegamingfr,800960213265425,#800960213265425,921,1519691,1650,non
Une minute avec Marie,UneMinuteAvecMarie,371724033083,#371724033083,921,955700,"1037,7",non
Saint Germain des Pres,SaintGermaindesPres,271831776180139,#271831776180139,917,1098914,"1198,4",non
LOSC Actualité,LOSC.ActuaIite,240391089411292,#240391089411292,917,722072,"787,4",non
Mona FM,monafmnord,254327027566,#254327027566,916,1350117,"1473,9",non
ASSE - Association Sportive de Saint-Etienne,asseofficiel,136053823071441,#136053823071441,915,1294577,"1414,8",non
Le Bonbon Lyon,BonbonLyon,1426355094350103,#1426355094350103,912,1496220,"1640,6",non
Pure Charts,chartsinfrance,105857272781855,#105857272781855,909,3128918,"3442,2",non
La République des Pyrénées,LaRepubliqueDesPyrenees,148446219817,#148446219817,909,909967,"1001,1",oui
Pet Alert Pas-de-Calais 62,Pet.Alert.Fr.62,389707381096838,#389707381096838,908,613537,"675,7",non
Un Bonheur de Chien,unbonheurdechien,230399790664787,#230399790664787,905,1055497,"1166,3",non
En Normandie,enormandie,302228249909260,#302228249909260,901,1040726,"1155,1",non
La République de Seine et Marne,RepubliqueSeineMarne,360259987339656,#360259987339656,900,972391,"1080,4",oui
RFM,RFMradio,31395019055,#31395019055,899,3214028,"3575,1",non
Geekhebdo,geekhebdo,908964245854416,#908964245854416,899,2702448,"3006,1",non
IDÉES De GÉNIE,desideesdegenies,317020751758213,#317020751758213,898,2855438,"3179,8",non
Les gâteaux de Stéph,Lesgateauxdesteph,415501045175709,#415501045175709,897,2052321,2288,non
TrashTalk,trashtalk.fr,109469069217663,#109469069217663,896,864538,"964,9",non
l'est-éclair,lesteclair,112654072100844,#112654072100844,895,741462,"828,4",oui
Sur la voie de la Sagesse. - Siddhartha,nosceteipsum66,510416002328294,#510416002328294,892,2668709,"2991,8",non
Le Journal des Sables,JournaldesSables,137706326246850,#137706326246850,892,1320584,"1480,5",oui
Gala,gala.fr,162588269536,#162588269536,891,1462751,"1641,7",non
"C'est Wingardium LeviOsa, pas Wingardium LeviosA ∞",WingardiumLeviosaFR,1453014008335119,#1453014008335119,888,2392027,"2693,7",non
SensCritique,senscritique,127524802986,#127524802986,888,1449138,"1631,9",non
Ont a toujours un mot d'amour sur les lèvres dedié a une seule personne.,jennifer09111998,214207651999202,#214207651999202,887,912167,"1028,4",non
Pet Alert Nord 59,Pet.Alert.Fr.59,350497168363169,#350497168363169,887,610127,"687,9",non
Mon âme,monamectoi,347651069261416,#347651069261416,886,1174311,"1325,4",non
Public,publicfr,73763577183,#73763577183,882,2141244,"2427,7",non
Le monde des jeunes.,Lmondedesjeunes,175114076382113,#175114076382113,880,875995,"995,4",non
France 3 Franche-Comté,france3franchecomte,354997959002,#354997959002,878,1481875,"1687,8",oui
Ligue 1 Uber Eats,Ligue1UberEats,128876393864352,#128876393864352,873,886733,"1015,7",non
